city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
ATLANTA,2010-01-01,412,418,418,371,86,0
ATLANTA,2010-01-01,421,411,411,363,86,1
ATLANTA,2010-01-01,436,406,406,357,85,2
ATLANTA,2010-01-01,442,401,401,350,86,3
ATLANTA,2010-01-01,467,397,397,346,87,4
ATLANTA,2010-01-01,457,392,392,340,86,5
ATLANTA,2010-01-01,467,389,389,335,86,6
ATLANTA,2010-01-01,470,387,386,331,89,7
ATLANTA,2010-01-01,457,386,386,331,88,8
ATLANTA,2010-01-01,458,399,399,345,94,9
ATLANTA,2010-01-01,458,422,422,371,99,10
ATLANTA,2010-01-01,427,447,446,401,103,11
ATLANTA,2010-01-01,422,469,469,430,103,12
ATLANTA,2010-01-01,403,488,487,452,104,13
ATLANTA,2010-01-01,410,501,500,470,104,14
ATLANTA,2010-01-01,388,509,508,479,105,15
ATLANTA,2010-01-01,399,511,510,481,102,16
ATLANTA,2010-01-01,379,500,500,469,100,17
ATLANTA,2010-01-01,388,480,480,446,89,18
ATLANTA,2010-01-01,378,465,465,428,86,19
ATLANTA,2010-01-01,386,454,454,414,88,20
ATLANTA,2010-01-01,410,444,444,402,87,21
ATLANTA,2010-01-01,399,435,435,392,86,22
ATLANTA,2010-01-01,386,427,427,382,86,23
ATLANTA,2010-01-02,406,419,419,373,85,0
ATLANTA,2010-01-02,413,412,412,364,85,1
ATLANTA,2010-01-02,432,407,407,358,85,2
ATLANTA,2010-01-02,440,401,401,351,84,3
ATLANTA,2010-01-02,464,398,398,347,86,4
ATLANTA,2010-01-02,445,393,393,341,85,5
ATLANTA,2010-01-02,464,389,389,336,85,6
ATLANTA,2010-01-02,471,387,387,331,88,7
ATLANTA,2010-01-02,462,386,386,332,87,8
ATLANTA,2010-01-02,456,400,400,347,93,9
ATLANTA,2010-01-02,455,424,424,373,98,10
ATLANTA,2010-01-02,430,449,448,404,102,11
ATLANTA,2010-01-02,421,471,471,433,102,12
ATLANTA,2010-01-02,405,490,490,456,103,13
ATLANTA,2010-01-02,408,504,503,474,104,14
ATLANTA,2010-01-02,390,512,511,483,105,15
ATLANTA,2010-01-02,401,514,514,486,102,16
ATLANTA,2010-01-02,378,504,504,474,100,17
ATLANTA,2010-01-02,381,484,484,451,89,18
ATLANTA,2010-01-02,384,468,468,433,86,19
ATLANTA,2010-01-02,396,457,457,419,88,20
ATLANTA,2010-01-02,415,447,447,406,87,21
ATLANTA,2010-01-02,406,438,438,396,86,22
ATLANTA,2010-01-02,402,429,429,386,85,23
ATLANTA,2010-01-03,410,422,422,377,85,0
ATLANTA,2010-01-03,416,415,415,368,85,1
ATLANTA,2010-01-03,437,410,410,362,84,2
ATLANTA,2010-01-03,443,404,404,355,83,3
ATLANTA,2010-01-03,461,400,400,350,85,4
ATLANTA,2010-01-03,445,395,395,344,85,5
ATLANTA,2010-01-03,472,392,391,339,86,6
ATLANTA,2010-01-03,486,389,389,334,89,7
ATLANTA,2010-01-03,464,388,388,334,88,8
ATLANTA,2010-01-03,453,402,402,348,94,9
ATLANTA,2010-01-03,463,425,425,375,98,10
ATLANTA,2010-01-03,438,449,449,405,103,11
ATLANTA,2010-01-03,417,472,471,433,103,12
ATLANTA,2010-01-03,410,490,489,455,105,13
ATLANTA,2010-01-03,413,503,503,473,105,14
ATLANTA,2010-01-03,394,512,511,482,105,15
ATLANTA,2010-01-03,401,514,513,484,103,16
ATLANTA,2010-01-03,383,503,503,474,101,17
ATLANTA,2010-01-03,389,484,484,451,90,18
ATLANTA,2010-01-03,393,468,468,432,86,19
ATLANTA,2010-01-03,407,457,457,418,89,20
ATLANTA,2010-01-03,416,446,446,406,87,21
ATLANTA,2010-01-03,404,438,438,395,86,22
ATLANTA,2010-01-03,408,429,429,384,86,23
ATLANTA,2010-01-04,410,421,421,376,85,0
ATLANTA,2010-01-04,413,414,414,367,85,1
ATLANTA,2010-01-04,427,409,408,361,84,2
ATLANTA,2010-01-04,436,402,402,353,84,3
ATLANTA,2010-01-04,453,399,399,348,85,4
ATLANTA,2010-01-04,439,394,393,342,85,5
ATLANTA,2010-01-04,469,390,390,336,87,6
ATLANTA,2010-01-04,484,387,387,331,89,7
ATLANTA,2010-01-04,458,386,386,331,88,8
ATLANTA,2010-01-04,451,400,400,345,94,9
ATLANTA,2010-01-04,451,423,423,372,99,10
ATLANTA,2010-01-04,425,447,447,402,104,11
ATLANTA,2010-01-04,408,469,469,430,103,12
ATLANTA,2010-01-04,405,487,487,452,105,13
ATLANTA,2010-01-04,411,501,501,469,106,14
ATLANTA,2010-01-04,392,510,510,480,105,15
ATLANTA,2010-01-04,398,511,511,481,104,16
ATLANTA,2010-01-04,378,501,501,470,102,17
ATLANTA,2010-01-04,384,482,482,448,90,18
ATLANTA,2010-01-04,395,466,466,429,87,19
ATLANTA,2010-01-04,405,455,455,415,89,20
ATLANTA,2010-01-04,408,444,444,403,88,21
ATLANTA,2010-01-04,403,435,435,392,87,22
ATLANTA,2010-01-04,409,426,426,381,86,23
ATLANTA,2010-01-05,401,419,419,373,86,0
ATLANTA,2010-01-05,404,412,412,364,85,1
ATLANTA,2010-01-05,410,406,406,357,85,2
ATLANTA,2010-01-05,419,400,400,350,84,3
ATLANTA,2010-01-05,431,396,396,344,86,4
ATLANTA,2010-01-05,419,391,390,338,85,5
ATLANTA,2010-01-05,455,387,387,332,86,6
ATLANTA,2010-01-05,471,384,384,327,89,7
ATLANTA,2010-01-05,438,383,383,327,88,8
ATLANTA,2010-01-05,431,397,397,341,94,9
ATLANTA,2010-01-05,437,420,420,368,100,10
ATLANTA,2010-01-05,409,445,445,399,104,11
ATLANTA,2010-01-05,403,468,468,427,104,12
ATLANTA,2010-01-05,396,485,485,449,106,13
ATLANTA,2010-01-05,399,499,499,467,107,14
ATLANTA,2010-01-05,380,508,508,477,106,15
ATLANTA,2010-01-05,399,509,509,478,105,16
ATLANTA,2010-01-05,375,499,499,468,103,17
ATLANTA,2010-01-05,383,480,480,445,91,18
ATLANTA,2010-01-05,401,464,464,426,88,19
ATLANTA,2010-01-05,402,453,453,412,90,20
ATLANTA,2010-01-05,409,443,443,400,90,21
ATLANTA,2010-01-05,403,433,433,388,88,22
ATLANTA,2010-01-05,406,424,424,379,87,23
ATLANTA,2010-01-06,396,417,417,370,86,0
ATLANTA,2010-01-06,401,410,410,361,86,1
ATLANTA,2010-01-06,406,404,404,355,86,2
ATLANTA,2010-01-06,418,398,398,347,85,3
ATLANTA,2010-01-06,432,395,395,342,87,4
ATLANTA,2010-01-06,420,390,390,336,86,5
ATLANTA,2010-01-06,456,386,386,331,86,6
ATLANTA,2010-01-06,481,383,383,326,90,7
ATLANTA,2010-01-06,435,382,382,325,89,8
ATLANTA,2010-01-06,429,396,396,338,95,9
ATLANTA,2010-01-06,436,419,419,366,101,10
ATLANTA,2010-01-06,409,444,444,397,105,11
ATLANTA,2010-01-06,402,467,467,426,105,12
ATLANTA,2010-01-06,392,485,485,448,106,13
ATLANTA,2010-01-06,394,499,499,466,107,14
ATLANTA,2010-01-06,379,508,508,477,106,15
ATLANTA,2010-01-06,399,509,509,478,106,16
ATLANTA,2010-01-06,376,499,499,468,103,17
ATLANTA,2010-01-06,381,480,480,446,91,18
ATLANTA,2010-01-06,394,464,464,426,88,19
ATLANTA,2010-01-06,394,453,453,412,90,20
ATLANTA,2010-01-06,396,442,442,399,89,21
ATLANTA,2010-01-06,387,432,432,388,87,22
ATLANTA,2010-01-06,402,424,424,378,86,23
ATLANTA,2010-01-07,391,417,417,370,86,0
ATLANTA,2010-01-07,393,410,410,361,85,1
ATLANTA,2010-01-07,403,404,404,355,86,2
ATLANTA,2010-01-07,411,398,398,347,86,3
ATLANTA,2010-01-07,433,394,394,342,87,4
ATLANTA,2010-01-07,421,389,389,335,86,5
ATLANTA,2010-01-07,450,385,385,330,86,6
ATLANTA,2010-01-07,477,383,383,325,90,7
ATLANTA,2010-01-07,432,381,381,324,89,8
ATLANTA,2010-01-07,430,395,395,337,95,9
ATLANTA,2010-01-07,440,418,418,365,101,10
ATLANTA,2010-01-07,414,444,444,396,106,11
ATLANTA,2010-01-07,411,467,467,426,105,12
ATLANTA,2010-01-07,392,485,485,448,107,13
ATLANTA,2010-01-07,393,499,499,466,109,14
ATLANTA,2010-01-07,371,508,508,477,107,15
ATLANTA,2010-01-07,392,509,509,478,107,16
ATLANTA,2010-01-07,377,499,499,468,104,17
ATLANTA,2010-01-07,382,480,480,446,92,18
ATLANTA,2010-01-07,392,464,464,426,89,19
ATLANTA,2010-01-07,392,452,452,411,90,20
ATLANTA,2010-01-07,393,441,441,398,90,21
ATLANTA,2010-01-07,381,431,431,386,88,22
ATLANTA,2010-01-07,398,423,423,377,87,23
ATLANTA,2010-01-08,390,416,416,368,87,0
ATLANTA,2010-01-08,388,409,409,360,86,1
ATLANTA,2010-01-08,391,403,403,353,87,2
ATLANTA,2010-01-08,399,396,396,345,87,3
ATLANTA,2010-01-08,416,392,392,340,88,4
ATLANTA,2010-01-08,408,387,387,332,86,5
ATLANTA,2010-01-08,440,383,383,327,87,6
ATLANTA,2010-01-08,455,380,380,322,90,7
ATLANTA,2010-01-08,418,378,378,321,89,8
ATLANTA,2010-01-08,421,392,392,334,96,9
ATLANTA,2010-01-08,429,416,416,362,101,10
ATLANTA,2010-01-08,399,442,442,393,106,11
ATLANTA,2010-01-08,402,465,465,424,106,12
ATLANTA,2010-01-08,375,483,483,446,108,13
ATLANTA,2010-01-08,376,498,498,465,110,14
ATLANTA,2010-01-08,359,506,506,475,108,15
ATLANTA,2010-01-08,385,508,508,477,108,16
ATLANTA,2010-01-08,370,498,498,466,105,17
ATLANTA,2010-01-08,373,478,478,443,93,18
ATLANTA,2010-01-08,380,462,462,424,89,19
ATLANTA,2010-01-08,379,450,450,409,91,20
ATLANTA,2010-01-08,386,439,439,395,91,21
ATLANTA,2010-01-08,367,429,429,383,89,22
ATLANTA,2010-01-08,395,421,421,374,87,23
ATLANTA,2010-01-09,395,413,413,365,88,0
ATLANTA,2010-01-09,391,406,406,357,87,1
ATLANTA,2010-01-09,391,400,400,349,87,2
ATLANTA,2010-01-09,398,394,394,341,87,3
ATLANTA,2010-01-09,413,389,389,336,87,4
ATLANTA,2010-01-09,408,384,383,329,86,5
ATLANTA,2010-01-09,433,380,380,323,87,6
ATLANTA,2010-01-09,446,377,377,318,90,7
ATLANTA,2010-01-09,424,376,376,317,90,8
ATLANTA,2010-01-09,422,389,389,330,96,9
ATLANTA,2010-01-09,427,413,413,358,102,10
ATLANTA,2010-01-09,398,439,439,389,107,11
ATLANTA,2010-01-09,407,462,462,420,107,12
ATLANTA,2010-01-09,377,480,480,443,109,13
ATLANTA,2010-01-09,368,495,495,461,111,14
ATLANTA,2010-01-09,360,504,504,472,109,15
ATLANTA,2010-01-09,393,505,505,473,109,16
ATLANTA,2010-01-09,378,495,495,463,106,17
ATLANTA,2010-01-09,384,476,476,440,94,18
ATLANTA,2010-01-09,380,459,459,420,91,19
ATLANTA,2010-01-09,375,448,448,406,91,20
ATLANTA,2010-01-09,387,437,437,392,91,21
