city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
AUSTIN,2010-01-01,438,476,476,452,66,0
AUSTIN,2010-01-01,449,468,468,443,63,1
AUSTIN,2010-01-01,465,462,462,437,63,2
AUSTIN,2010-01-01,482,457,457,430,64,3
AUSTIN,2010-01-01,480,453,453,424,65,4
AUSTIN,2010-01-01,494,449,449,419,64,5
AUSTIN,2010-01-01,496,443,443,412,64,6
AUSTIN,2010-01-01,462,441,441,409,65,7
AUSTIN,2010-01-01,463,441,441,410,65,8
AUSTIN,2010-01-01,489,463,463,431,73,9
AUSTIN,2010-01-01,476,491,491,463,81,10
AUSTIN,2010-01-01,466,521,521,498,85,11
AUSTIN,2010-01-01,458,546,545,526,90,12
AUSTIN,2010-01-01,436,567,566,550,94,13
AUSTIN,2010-01-01,428,581,580,567,96,14
AUSTIN,2010-01-01,386,588,588,573,93,15
AUSTIN,2010-01-01,398,587,586,572,94,16
AUSTIN,2010-01-01,384,577,577,561,89,17
AUSTIN,2010-01-01,411,551,551,533,75,18
AUSTIN,2010-01-01,398,532,532,514,70,19
AUSTIN,2010-01-01,395,517,517,499,68,20
AUSTIN,2010-01-01,413,506,505,486,67,21
AUSTIN,2010-01-01,405,496,496,476,65,22
AUSTIN,2010-01-01,419,486,486,465,65,23
AUSTIN,2010-01-02,443,479,479,456,65,0
AUSTIN,2010-01-02,453,471,471,447,61,1
AUSTIN,2010-01-02,476,465,465,440,62,2
AUSTIN,2010-01-02,495,460,460,434,63,3
AUSTIN,2010-01-02,495,456,456,429,64,4
AUSTIN,2010-01-02,501,452,451,424,63,5
AUSTIN,2010-01-02,511,447,447,417,63,6
AUSTIN,2010-01-02,472,444,444,414,65,7
AUSTIN,2010-01-02,473,445,445,415,64,8
AUSTIN,2010-01-02,496,467,467,436,72,9
AUSTIN,2010-01-02,478,496,496,469,81,10
AUSTIN,2010-01-02,457,526,526,504,86,11
AUSTIN,2010-01-02,448,552,551,532,91,12
AUSTIN,2010-01-02,429,573,572,556,95,13
AUSTIN,2010-01-02,415,587,587,573,97,14
AUSTIN,2010-01-02,382,594,594,581,94,15
AUSTIN,2010-01-02,391,593,593,579,95,16
AUSTIN,2010-01-02,379,583,583,568,90,17
AUSTIN,2010-01-02,397,557,557,540,75,18
AUSTIN,2010-01-02,395,538,537,521,70,19
AUSTIN,2010-01-02,389,522,522,505,69,20
AUSTIN,2010-01-02,404,510,510,491,67,21
AUSTIN,2010-01-02,399,500,500,480,65,22
AUSTIN,2010-01-02,411,490,489,469,65,23
AUSTIN,2010-01-03,435,483,482,460,66,0
AUSTIN,2010-01-03,446,475,474,452,62,1
AUSTIN,2010-01-03,471,469,469,445,63,2
AUSTIN,2010-01-03,493,464,463,438,64,3
AUSTIN,2010-01-03,498,459,459,432,64,4
AUSTIN,2010-01-03,505,454,454,426,64,5
AUSTIN,2010-01-03,510,449,449,419,64,6
AUSTIN,2010-01-03,472,447,447,416,67,7
AUSTIN,2010-01-03,468,447,446,416,65,8
AUSTIN,2010-01-03,489,468,468,437,73,9
AUSTIN,2010-01-03,473,497,497,470,82,10
AUSTIN,2010-01-03,447,527,527,505,87,11
AUSTIN,2010-01-03,437,552,552,532,92,12
AUSTIN,2010-01-03,423,573,573,557,96,13
AUSTIN,2010-01-03,403,588,588,574,98,14
AUSTIN,2010-01-03,370,595,595,582,95,15
AUSTIN,2010-01-03,380,594,594,580,96,16
AUSTIN,2010-01-03,374,584,584,569,91,17
AUSTIN,2010-01-03,396,557,557,540,75,18
AUSTIN,2010-01-03,392,538,538,521,70,19
AUSTIN,2010-01-03,384,522,522,504,69,20
AUSTIN,2010-01-03,398,510,510,491,66,21
AUSTIN,2010-01-03,397,499,499,479,64,22
AUSTIN,2010-01-03,410,489,489,468,65,23
AUSTIN,2010-01-04,435,482,482,459,66,0
AUSTIN,2010-01-04,440,474,474,451,62,1
AUSTIN,2010-01-04,469,468,468,444,63,2
AUSTIN,2010-01-04,488,462,462,436,63,3
AUSTIN,2010-01-04,494,458,458,430,64,4
AUSTIN,2010-01-04,503,453,453,424,64,5
AUSTIN,2010-01-04,508,448,448,418,65,6
AUSTIN,2010-01-04,474,446,446,414,67,7
AUSTIN,2010-01-04,471,445,445,414,65,8
AUSTIN,2010-01-04,483,466,466,435,73,9
AUSTIN,2010-01-04,469,495,495,468,82,10
AUSTIN,2010-01-04,443,525,525,502,88,11
AUSTIN,2010-01-04,427,550,550,530,92,12
AUSTIN,2010-01-04,414,571,571,554,96,13
AUSTIN,2010-01-04,397,586,586,572,97,14
AUSTIN,2010-01-04,369,594,594,579,95,15
AUSTIN,2010-01-04,381,592,592,578,96,16
AUSTIN,2010-01-04,373,582,582,567,91,17
AUSTIN,2010-01-04,395,556,556,538,76,18
AUSTIN,2010-01-04,390,536,536,518,69,19
AUSTIN,2010-01-04,380,520,520,501,68,20
AUSTIN,2010-01-04,397,508,508,488,66,21
AUSTIN,2010-01-04,398,497,497,477,64,22
AUSTIN,2010-01-04,418,488,488,466,65,23
AUSTIN,2010-01-05,447,481,481,458,66,0
AUSTIN,2010-01-05,453,473,473,449,63,1
AUSTIN,2010-01-05,483,468,468,443,64,2
AUSTIN,2010-01-05,500,462,462,436,63,3
AUSTIN,2010-01-05,507,458,458,430,64,4
AUSTIN,2010-01-05,515,453,453,424,64,5
AUSTIN,2010-01-05,516,449,449,418,65,6
AUSTIN,2010-01-05,488,446,446,415,67,7
AUSTIN,2010-01-05,480,446,446,415,66,8
AUSTIN,2010-01-05,486,466,466,436,73,9
AUSTIN,2010-01-05,478,495,495,468,82,10
AUSTIN,2010-01-05,454,526,526,503,87,11
AUSTIN,2010-01-05,433,551,551,531,92,12
AUSTIN,2010-01-05,425,572,572,555,95,13
AUSTIN,2010-01-05,389,587,587,572,98,14
AUSTIN,2010-01-05,371,595,595,580,96,15
