city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
CHARLOTTE,2010-01-01,433,400,400,366,55,0
CHARLOTTE,2010-01-01,440,392,392,358,55,1
CHARLOTTE,2010-01-01,424,386,386,352,54,2
CHARLOTTE,2010-01-01,438,381,381,346,54,3
CHARLOTTE,2010-01-01,439,376,376,342,52,4
CHARLOTTE,2010-01-01,445,371,371,336,54,5
CHARLOTTE,2010-01-01,470,366,366,329,54,6
CHARLOTTE,2010-01-01,470,364,364,325,54,7
CHARLOTTE,2010-01-01,433,364,364,325,56,8
CHARLOTTE,2010-01-01,450,390,390,350,63,9
CHARLOTTE,2010-01-01,444,419,419,378,74,10
CHARLOTTE,2010-01-01,439,445,445,408,80,11
CHARLOTTE,2010-01-01,430,467,467,435,81,12
CHARLOTTE,2010-01-01,445,484,484,454,83,13
CHARLOTTE,2010-01-01,425,495,495,469,85,14
CHARLOTTE,2010-01-01,440,501,501,477,82,15
CHARLOTTE,2010-01-01,408,501,501,477,79,16
CHARLOTTE,2010-01-01,401,487,487,462,72,17
CHARLOTTE,2010-01-01,387,462,462,435,64,18
CHARLOTTE,2010-01-01,423,447,447,418,63,19
CHARLOTTE,2010-01-01,404,435,435,404,62,20
CHARLOTTE,2010-01-01,382,427,427,394,63,21
CHARLOTTE,2010-01-01,392,417,417,383,60,22
CHARLOTTE,2010-01-01,408,408,408,375,58,23
CHARLOTTE,2010-01-02,427,400,400,367,55,0
CHARLOTTE,2010-01-02,432,392,392,359,55,1
CHARLOTTE,2010-01-02,429,386,386,353,53,2
CHARLOTTE,2010-01-02,437,381,381,347,53,3
CHARLOTTE,2010-01-02,432,376,376,342,51,4
CHARLOTTE,2010-01-02,445,371,371,336,53,5
CHARLOTTE,2010-01-02,468,366,366,330,54,6
CHARLOTTE,2010-01-02,464,364,364,325,54,7
CHARLOTTE,2010-01-02,421,364,364,325,56,8
CHARLOTTE,2010-01-02,445,390,390,350,62,9
CHARLOTTE,2010-01-02,437,419,419,378,74,10
CHARLOTTE,2010-01-02,439,445,445,408,80,11
CHARLOTTE,2010-01-02,430,468,468,436,81,12
CHARLOTTE,2010-01-02,446,484,484,456,83,13
CHARLOTTE,2010-01-02,424,497,496,470,85,14
CHARLOTTE,2010-01-02,435,503,503,479,82,15
CHARLOTTE,2010-01-02,404,503,503,479,80,16
CHARLOTTE,2010-01-02,407,489,489,464,72,17
CHARLOTTE,2010-01-02,388,464,464,437,64,18
CHARLOTTE,2010-01-02,416,448,448,420,64,19
CHARLOTTE,2010-01-02,397,436,436,405,62,20
CHARLOTTE,2010-01-02,381,428,428,395,64,21
CHARLOTTE,2010-01-02,389,419,419,384,61,22
CHARLOTTE,2010-01-02,403,409,409,376,58,23
CHARLOTTE,2010-01-03,423,401,401,368,56,0
CHARLOTTE,2010-01-03,429,393,393,360,55,1
CHARLOTTE,2010-01-03,418,387,387,354,53,2
CHARLOTTE,2010-01-03,432,382,382,349,53,3
CHARLOTTE,2010-01-03,429,377,377,344,51,4
CHARLOTTE,2010-01-03,439,373,372,338,53,5
CHARLOTTE,2010-01-03,466,368,368,331,54,6
CHARLOTTE,2010-01-03,465,365,365,327,54,7
CHARLOTTE,2010-01-03,430,365,365,327,57,8
CHARLOTTE,2010-01-03,454,391,391,351,63,9
CHARLOTTE,2010-01-03,443,420,420,379,74,10
CHARLOTTE,2010-01-03,442,446,446,408,80,11
CHARLOTTE,2010-01-03,436,468,468,436,81,12
CHARLOTTE,2010-01-03,447,485,484,456,83,13
CHARLOTTE,2010-01-03,431,496,496,470,85,14
CHARLOTTE,2010-01-03,440,503,503,479,83,15
CHARLOTTE,2010-01-03,406,503,503,479,80,16
CHARLOTTE,2010-01-03,408,489,488,463,73,17
CHARLOTTE,2010-01-03,389,464,464,437,65,18
CHARLOTTE,2010-01-03,415,449,449,419,64,19
CHARLOTTE,2010-01-03,406,436,436,404,63,20
CHARLOTTE,2010-01-03,381,428,428,395,65,21
CHARLOTTE,2010-01-03,390,419,419,384,62,22
CHARLOTTE,2010-01-03,406,409,409,376,60,23
CHARLOTTE,2010-01-04,426,401,401,367,57,0
CHARLOTTE,2010-01-04,428,393,393,359,57,1
CHARLOTTE,2010-01-04,423,387,387,354,54,2
CHARLOTTE,2010-01-04,429,382,382,349,54,3
CHARLOTTE,2010-01-04,425,377,377,343,52,4
CHARLOTTE,2010-01-04,442,372,372,337,54,5
CHARLOTTE,2010-01-04,460,367,367,331,55,6
CHARLOTTE,2010-01-04,455,365,365,326,56,7
CHARLOTTE,2010-01-04,418,365,365,326,57,8
CHARLOTTE,2010-01-04,449,390,390,350,65,9
CHARLOTTE,2010-01-04,432,419,419,378,76,10
CHARLOTTE,2010-01-04,435,446,446,408,81,11
CHARLOTTE,2010-01-04,431,469,468,436,82,12
CHARLOTTE,2010-01-04,441,485,484,455,85,13
CHARLOTTE,2010-01-04,427,496,496,469,87,14
CHARLOTTE,2010-01-04,439,503,503,478,85,15
CHARLOTTE,2010-01-04,401,503,503,478,82,16
CHARLOTTE,2010-01-04,405,488,488,463,75,17
CHARLOTTE,2010-01-04,391,464,464,436,65,18
CHARLOTTE,2010-01-04,409,448,448,419,65,19
CHARLOTTE,2010-01-04,401,436,436,404,64,20
CHARLOTTE,2010-01-04,377,428,428,393,66,21
CHARLOTTE,2010-01-04,385,419,419,383,63,22
CHARLOTTE,2010-01-04,408,409,409,375,60,23
CHARLOTTE,2010-01-05,422,401,401,367,57,0
CHARLOTTE,2010-01-05,424,392,392,357,58,1
CHARLOTTE,2010-01-05,418,386,386,351,55,2
CHARLOTTE,2010-01-05,422,381,381,346,55,3
CHARLOTTE,2010-01-05,419,376,375,340,53,4
CHARLOTTE,2010-01-05,439,371,370,335,54,5
CHARLOTTE,2010-01-05,462,366,366,328,55,6
CHARLOTTE,2010-01-05,448,363,363,323,56,7
CHARLOTTE,2010-01-05,414,363,363,323,58,8
CHARLOTTE,2010-01-05,442,389,389,346,66,9
CHARLOTTE,2010-01-05,428,417,417,374,77,10
CHARLOTTE,2010-01-05,424,444,444,405,82,11
CHARLOTTE,2010-01-05,424,466,466,433,83,12
CHARLOTTE,2010-01-05,435,483,483,453,85,13
CHARLOTTE,2010-01-05,419,495,495,468,88,14
CHARLOTTE,2010-01-05,433,502,502,476,86,15
CHARLOTTE,2010-01-05,401,502,502,477,83,16
CHARLOTTE,2010-01-05,408,488,488,462,76,17
CHARLOTTE,2010-01-05,391,463,463,435,66,18
CHARLOTTE,2010-01-05,403,448,448,418,64,19
CHARLOTTE,2010-01-05,405,435,435,403,64,20
CHARLOTTE,2010-01-05,377,427,427,391,67,21
CHARLOTTE,2010-01-05,381,418,418,381,63,22
CHARLOTTE,2010-01-05,408,408,408,373,61,23
CHARLOTTE,2010-01-06,420,400,400,365,58,0
CHARLOTTE,2010-01-06,425,391,391,355,59,1
CHARLOTTE,2010-01-06,419,385,385,349,57,2
CHARLOTTE,2010-01-06,426,380,380,344,55,3
CHARLOTTE,2010-01-06,423,375,374,339,54,4
CHARLOTTE,2010-01-06,432,370,370,333,55,5
CHARLOTTE,2010-01-06,459,365,365,327,55,6
CHARLOTTE,2010-01-06,444,363,363,322,56,7
CHARLOTTE,2010-01-06,414,363,363,322,59,8
CHARLOTTE,2010-01-06,449,388,388,345,67,9
CHARLOTTE,2010-01-06,439,416,416,373,77,10
CHARLOTTE,2010-01-06,433,442,442,403,82,11
CHARLOTTE,2010-01-06,427,465,465,431,84,12
CHARLOTTE,2010-01-06,430,482,482,452,86,13
CHARLOTTE,2010-01-06,409,494,494,466,88,14
CHARLOTTE,2010-01-06,424,501,501,475,87,15
CHARLOTTE,2010-01-06,395,502,502,476,84,16
CHARLOTTE,2010-01-06,406,488,488,461,76,17
CHARLOTTE,2010-01-06,388,464,464,435,67,18
CHARLOTTE,2010-01-06,402,448,448,418,65,19
CHARLOTTE,2010-01-06,403,435,435,402,65,20
CHARLOTTE,2010-01-06,373,426,426,390,67,21
CHARLOTTE,2010-01-06,380,417,417,381,64,22
CHARLOTTE,2010-01-06,407,407,407,372,62,23
CHARLOTTE,2010-01-07,418,399,399,365,58,0
CHARLOTTE,2010-01-07,420,390,390,354,59,1
CHARLOTTE,2010-01-07,413,384,384,349,56,2
CHARLOTTE,2010-01-07,418,379,379,344,55,3
CHARLOTTE,2010-01-07,415,374,373,338,54,4
CHARLOTTE,2010-01-07,430,369,368,332,55,5
CHARLOTTE,2010-01-07,450,363,363,325,55,6
CHARLOTTE,2010-01-07,437,362,362,322,56,7
CHARLOTTE,2010-01-07,410,362,361,321,58,8
CHARLOTTE,2010-01-07,442,387,387,345,66,9
CHARLOTTE,2010-01-07,440,415,415,372,78,10
CHARLOTTE,2010-01-07,432,441,441,402,83,11
CHARLOTTE,2010-01-07,425,465,465,431,85,12
CHARLOTTE,2010-01-07,423,482,482,451,88,13
CHARLOTTE,2010-01-07,399,494,494,465,89,14
CHARLOTTE,2010-01-07,413,501,501,475,89,15
CHARLOTTE,2010-01-07,390,502,502,475,87,16
CHARLOTTE,2010-01-07,396,488,488,460,78,17
CHARLOTTE,2010-01-07,385,464,464,435,68,18
CHARLOTTE,2010-01-07,388,447,447,417,66,19
CHARLOTTE,2010-01-07,380,434,434,401,66,20
CHARLOTTE,2010-01-07,360,425,425,389,68,21
CHARLOTTE,2010-01-07,365,416,416,380,66,22
CHARLOTTE,2010-01-07,392,407,407,371,62,23
CHARLOTTE,2010-01-08,395,398,398,363,59,0
CHARLOTTE,2010-01-08,411,389,389,353,60,1
CHARLOTTE,2010-01-08,395,383,383,347,57,2
CHARLOTTE,2010-01-08,402,377,376,341,55,3
CHARLOTTE,2010-01-08,394,371,371,335,54,4
CHARLOTTE,2010-01-08,407,366,366,329,55,5
CHARLOTTE,2010-01-08,430,361,361,322,55,6
CHARLOTTE,2010-01-08,425,359,359,319,56,7
CHARLOTTE,2010-01-08,396,359,359,318,58,8
CHARLOTTE,2010-01-08,419,385,385,342,67,9
CHARLOTTE,2010-01-08,422,413,413,369,79,10
CHARLOTTE,2010-01-08,418,440,440,400,84,11
CHARLOTTE,2010-01-08,407,464,464,429,85,12
CHARLOTTE,2010-01-08,398,481,481,449,89,13
CHARLOTTE,2010-01-08,378,493,493,464,90,14
CHARLOTTE,2010-01-08,387,501,501,474,90,15
CHARLOTTE,2010-01-08,369,501,501,474,88,16
CHARLOTTE,2010-01-08,370,487,487,458,79,17
CHARLOTTE,2010-01-08,365,462,462,433,68,18
CHARLOTTE,2010-01-08,369,446,446,415,66,19
CHARLOTTE,2010-01-08,369,433,433,399,67,20
CHARLOTTE,2010-01-08,351,423,423,386,69,21
CHARLOTTE,2010-01-08,361,414,414,377,66,22
CHARLOTTE,2010-01-08,390,405,404,368,63,23
CHARLOTTE,2010-01-09,393,396,396,360,60,0
CHARLOTTE,2010-01-09,407,388,388,350,60,1
CHARLOTTE,2010-01-09,393,381,381,344,58,2
CHARLOTTE,2010-01-09,396,375,374,339,55,3
CHARLOTTE,2010-01-09,383,369,369,332,54,4
CHARLOTTE,2010-01-09,391,364,364,327,55,5
CHARLOTTE,2010-01-09,416,358,358,319,55,6
CHARLOTTE,2010-01-09,415,357,357,316,56,7
CHARLOTTE,2010-01-09,384,357,356,315,59,8
CHARLOTTE,2010-01-09,409,382,382,338,67,9
CHARLOTTE,2010-01-09,410,411,411,366,79,10
CHARLOTTE,2010-01-09,415,438,438,398,84,11
CHARLOTTE,2010-01-09,408,462,462,426,86,12
CHARLOTTE,2010-01-09,400,479,479,448,90,13
CHARLOTTE,2010-01-09,381,491,491,463,91,14
CHARLOTTE,2010-01-09,378,499,499,472,90,15
CHARLOTTE,2010-01-09,369,500,500,473,88,16
CHARLOTTE,2010-01-09,369,486,486,457,80,17
CHARLOTTE,2010-01-09,367,461,461,431,68,18
CHARLOTTE,2010-01-09,376,444,444,413,66,19
CHARLOTTE,2010-01-09,374,431,431,397,67,20
CHARLOTTE,2010-01-09,352,421,421,384,69,21
CHARLOTTE,2010-01-09,373,413,413,375,67,22
CHARLOTTE,2010-01-09,393,402,402,366,63,23
CHARLOTTE,2010-01-10,396,394,394,357,60,0
CHARLOTTE,2010-01-10,400,385,385,347,60,1
CHARLOTTE,2010-01-10,387,379,378,342,58,2
CHARLOTTE,2010-01-10,395,372,372,336,55,3
CHARLOTTE,2010-01-10,389,366,366,329,55,4
CHARLOTTE,2010-01-10,399,362,361,323,56,5
CHARLOTTE,2010-01-10,417,355,355,316,55,6
CHARLOTTE,2010-01-10,411,354,354,313,56,7
CHARLOTTE,2010-01-10,377,353,353,312,58,8
CHARLOTTE,2010-01-10,394,379,379,335,67,9
CHARLOTTE,2010-01-10,394,409,409,363,79,10
CHARLOTTE,2010-01-10,404,436,436,395,84,11
CHARLOTTE,2010-01-10,398,460,460,425,86,12
CHARLOTTE,2010-01-10,393,478,478,448,90,13
CHARLOTTE,2010-01-10,377,490,490,461,92,14
CHARLOTTE,2010-01-10,378,498,498,470,91,15
CHARLOTTE,2010-01-10,366,498,498,471,89,16
CHARLOTTE,2010-01-10,363,485,485,456,80,17
CHARLOTTE,2010-01-10,365,460,460,431,68,18
CHARLOTTE,2010-01-10,376,443,443,412,66,19
CHARLOTTE,2010-01-10,381,431,430,396,68,20
CHARLOTTE,2010-01-10,359,420,420,382,70,21
CHARLOTTE,2010-01-10,378,412,412,373,68,22
CHARLOTTE,2010-01-10,396,401,401,364,64,23
CHARLOTTE,2010-01-11,393,393,393,356,60,0
CHARLOTTE,2010-01-11,400,384,384,345,60,1
CHARLOTTE,2010-01-11,384,378,377,340,58,2
CHARLOTTE,2010-01-11,391,370,370,333,55,3
CHARLOTTE,2010-01-11,386,365,364,327,55,4
CHARLOTTE,2010-01-11,404,360,360,321,55,5
CHARLOTTE,2010-01-11,416,353,353,313,55,6
CHARLOTTE,2010-01-11,406,352,352,310,56,7
CHARLOTTE,2010-01-11,368,352,351,310,58,8
CHARLOTTE,2010-01-11,394,378,378,333,67,9
