city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
EL PASO,2010-01-01,199,398,398,364,61,0
EL PASO,2010-01-01,210,386,386,349,62,1
EL PASO,2010-01-01,209,377,377,338,62,2
EL PASO,2010-01-01,205,370,370,331,62,3
EL PASO,2010-01-01,200,362,362,321,62,4
EL PASO,2010-01-01,213,354,354,310,62,5
EL PASO,2010-01-01,221,350,350,304,63,6
EL PASO,2010-01-01,201,345,345,298,66,7
EL PASO,2010-01-01,211,359,359,318,62,8
EL PASO,2010-01-01,212,405,405,371,64,9
EL PASO,2010-01-01,194,444,444,416,72,10
EL PASO,2010-01-01,179,478,478,457,75,11
EL PASO,2010-01-01,179,506,506,489,78,12
EL PASO,2010-01-01,199,527,527,514,82,13
EL PASO,2010-01-01,198,542,542,530,85,14
EL PASO,2010-01-01,213,548,548,538,86,15
EL PASO,2010-01-01,204,547,547,535,83,16
EL PASO,2010-01-01,176,529,529,515,77,17
EL PASO,2010-01-01,165,495,495,475,73,18
EL PASO,2010-01-01,174,473,473,450,72,19
EL PASO,2010-01-01,183,455,455,427,70,20
EL PASO,2010-01-01,179,439,439,409,69,21
EL PASO,2010-01-01,193,425,425,392,68,22
EL PASO,2010-01-01,200,413,413,379,66,23
EL PASO,2010-01-02,194,401,401,367,62,0
EL PASO,2010-01-02,202,388,388,351,61,1
EL PASO,2010-01-02,197,379,379,341,62,2
EL PASO,2010-01-02,198,372,372,333,63,3
EL PASO,2010-01-02,191,364,364,324,63,4
EL PASO,2010-01-02,204,357,357,313,63,5
EL PASO,2010-01-02,209,352,352,307,63,6
EL PASO,2010-01-02,188,347,347,301,66,7
EL PASO,2010-01-02,199,361,361,320,62,8
EL PASO,2010-01-02,198,407,407,374,65,9
EL PASO,2010-01-02,185,447,447,420,73,10
EL PASO,2010-01-02,163,482,482,461,75,11
EL PASO,2010-01-02,157,510,510,495,79,12
EL PASO,2010-01-02,178,531,531,518,83,13
EL PASO,2010-01-02,186,546,546,535,86,14
EL PASO,2010-01-02,200,553,553,543,87,15
EL PASO,2010-01-02,192,551,551,541,83,16
