city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
HOUSTON,2010-01-01,465,488,488,469,66,0
HOUSTON,2010-01-01,458,483,483,463,64,1
HOUSTON,2010-01-01,472,478,478,457,62,2
HOUSTON,2010-01-01,486,474,474,452,63,3
HOUSTON,2010-01-01,484,470,470,448,61,4
HOUSTON,2010-01-01,493,468,468,443,64,5
HOUSTON,2010-01-01,501,464,464,440,63,6
HOUSTON,2010-01-01,487,462,462,436,65,7
HOUSTON,2010-01-01,517,467,467,439,69,8
HOUSTON,2010-01-01,546,493,493,464,81,9
HOUSTON,2010-01-01,529,522,522,498,92,10
HOUSTON,2010-01-01,480,549,549,530,96,11
HOUSTON,2010-01-01,490,571,571,556,97,12
HOUSTON,2010-01-01,473,588,588,575,99,13
HOUSTON,2010-01-01,435,599,598,587,103,14
HOUSTON,2010-01-01,451,601,601,590,102,15
HOUSTON,2010-01-01,451,598,598,586,99,16
HOUSTON,2010-01-01,430,583,583,571,92,17
HOUSTON,2010-01-01,456,553,552,539,78,18
HOUSTON,2010-01-01,477,533,533,517,75,19
HOUSTON,2010-01-01,480,521,521,505,74,20
HOUSTON,2010-01-01,467,513,513,495,75,21
HOUSTON,2010-01-01,479,505,505,486,72,22
HOUSTON,2010-01-01,490,498,498,480,68,23
HOUSTON,2010-01-02,470,490,490,472,66,0
HOUSTON,2010-01-02,462,485,485,466,64,1
HOUSTON,2010-01-02,477,480,480,460,62,2
HOUSTON,2010-01-02,493,477,476,456,62,3
HOUSTON,2010-01-02,493,473,473,451,61,4
HOUSTON,2010-01-02,500,470,470,446,63,5
HOUSTON,2010-01-02,506,467,467,443,63,6
HOUSTON,2010-01-02,487,465,465,439,64,7
HOUSTON,2010-01-02,509,470,470,443,68,8
HOUSTON,2010-01-02,543,497,496,469,80,9
HOUSTON,2010-01-02,529,526,526,502,92,10
HOUSTON,2010-01-02,480,553,552,534,97,11
HOUSTON,2010-01-02,483,575,575,560,98,12
HOUSTON,2010-01-02,460,592,592,579,101,13
HOUSTON,2010-01-02,420,603,603,591,103,14
HOUSTON,2010-01-02,437,606,606,594,103,15
