city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
INDIANAPOLIS,2010-01-01,654,291,291,210,101,0
INDIANAPOLIS,2010-01-01,650,287,287,205,101,1
INDIANAPOLIS,2010-01-01,642,284,284,202,100,2
INDIANAPOLIS,2010-01-01,642,281,281,201,97,3
INDIANAPOLIS,2010-01-01,622,277,277,194,99,4
INDIANAPOLIS,2010-01-01,640,275,275,192,99,5
INDIANAPOLIS,2010-01-01,640,272,272,189,96,6
INDIANAPOLIS,2010-01-01,639,271,271,187,98,7
INDIANAPOLIS,2010-01-01,632,270,270,186,97,8
INDIANAPOLIS,2010-01-01,628,275,275,192,97,9
INDIANAPOLIS,2010-01-01,629,288,288,204,103,10
INDIANAPOLIS,2010-01-01,620,305,305,222,110,11
INDIANAPOLIS,2010-01-01,626,319,319,237,116,12
INDIANAPOLIS,2010-01-01,651,332,332,253,115,13
INDIANAPOLIS,2010-01-01,665,340,340,263,117,14
INDIANAPOLIS,2010-01-01,646,345,344,268,119,15
INDIANAPOLIS,2010-01-01,645,344,344,267,117,16
INDIANAPOLIS,2010-01-01,641,336,336,259,111,17
INDIANAPOLIS,2010-01-01,632,323,323,246,104,18
INDIANAPOLIS,2010-01-01,656,316,316,240,101,19
INDIANAPOLIS,2010-01-01,652,311,311,234,103,20
INDIANAPOLIS,2010-01-01,655,306,306,229,102,21
INDIANAPOLIS,2010-01-01,646,302,302,223,103,22
INDIANAPOLIS,2010-01-01,649,298,298,219,101,23
INDIANAPOLIS,2010-01-02,660,294,294,214,101,0
INDIANAPOLIS,2010-01-02,656,290,290,209,101,1
INDIANAPOLIS,2010-01-02,648,287,287,206,100,2
INDIANAPOLIS,2010-01-02,644,284,284,204,97,3
INDIANAPOLIS,2010-01-02,630,280,280,199,99,4
INDIANAPOLIS,2010-01-02,649,278,278,195,99,5
INDIANAPOLIS,2010-01-02,652,275,275,192,97,6
INDIANAPOLIS,2010-01-02,645,273,273,189,99,7
INDIANAPOLIS,2010-01-02,639,272,272,188,98,8
INDIANAPOLIS,2010-01-02,627,277,277,194,98,9
INDIANAPOLIS,2010-01-02,640,289,289,205,105,10
INDIANAPOLIS,2010-01-02,615,307,307,223,111,11
INDIANAPOLIS,2010-01-02,632,321,321,239,116,12
INDIANAPOLIS,2010-01-02,658,334,333,255,116,13
INDIANAPOLIS,2010-01-02,670,342,342,265,117,14
INDIANAPOLIS,2010-01-02,652,346,346,270,119,15
INDIANAPOLIS,2010-01-02,652,345,345,269,117,16
INDIANAPOLIS,2010-01-02,649,337,337,261,112,17
INDIANAPOLIS,2010-01-02,647,324,324,247,105,18
INDIANAPOLIS,2010-01-02,680,318,318,242,102,19
INDIANAPOLIS,2010-01-02,675,313,313,235,104,20
INDIANAPOLIS,2010-01-02,670,308,308,230,104,21
INDIANAPOLIS,2010-01-02,662,304,304,224,105,22
INDIANAPOLIS,2010-01-02,668,300,300,220,102,23
INDIANAPOLIS,2010-01-03,670,296,296,215,103,0
INDIANAPOLIS,2010-01-03,660,292,292,210,103,1
INDIANAPOLIS,2010-01-03,654,288,288,206,101,2
INDIANAPOLIS,2010-01-03,651,285,285,204,99,3
INDIANAPOLIS,2010-01-03,637,281,281,199,100,4
INDIANAPOLIS,2010-01-03,658,279,279,196,100,5
INDIANAPOLIS,2010-01-03,666,276,276,192,98,6
INDIANAPOLIS,2010-01-03,661,274,274,189,100,7
INDIANAPOLIS,2010-01-03,647,272,272,188,99,8
INDIANAPOLIS,2010-01-03,624,277,277,194,98,9
INDIANAPOLIS,2010-01-03,634,289,289,205,106,10
INDIANAPOLIS,2010-01-03,609,306,306,223,112,11
INDIANAPOLIS,2010-01-03,622,321,321,238,118,12
INDIANAPOLIS,2010-01-03,648,333,333,254,116,13
INDIANAPOLIS,2010-01-03,661,342,341,264,119,14
INDIANAPOLIS,2010-01-03,643,346,346,269,121,15
INDIANAPOLIS,2010-01-03,647,345,345,268,119,16
INDIANAPOLIS,2010-01-03,640,337,337,259,114,17
INDIANAPOLIS,2010-01-03,635,323,323,245,107,18
INDIANAPOLIS,2010-01-03,668,317,317,239,104,19
INDIANAPOLIS,2010-01-03,664,312,312,234,104,20
INDIANAPOLIS,2010-01-03,659,307,307,227,105,21
INDIANAPOLIS,2010-01-03,655,303,303,222,106,22
INDIANAPOLIS,2010-01-03,655,298,298,217,104,23
INDIANAPOLIS,2010-01-04,657,294,294,212,104,0
INDIANAPOLIS,2010-01-04,655,290,290,207,104,1
INDIANAPOLIS,2010-01-04,650,286,286,203,103,2
INDIANAPOLIS,2010-01-04,648,283,283,201,100,3
INDIANAPOLIS,2010-01-04,638,279,279,196,102,4
INDIANAPOLIS,2010-01-04,651,277,277,192,101,5
INDIANAPOLIS,2010-01-04,654,274,274,189,99,6
INDIANAPOLIS,2010-01-04,641,272,272,185,101,7
INDIANAPOLIS,2010-01-04,630,270,269,184,101,8
INDIANAPOLIS,2010-01-04,608,274,274,190,100,9
INDIANAPOLIS,2010-01-04,626,287,287,201,107,10
INDIANAPOLIS,2010-01-04,600,304,304,219,114,11
INDIANAPOLIS,2010-01-04,606,319,319,235,119,12
INDIANAPOLIS,2010-01-04,642,331,331,249,119,13
INDIANAPOLIS,2010-01-04,651,339,339,260,120,14
INDIANAPOLIS,2010-01-04,633,344,343,265,122,15
INDIANAPOLIS,2010-01-04,646,343,343,264,120,16
INDIANAPOLIS,2010-01-04,637,335,335,256,115,17
INDIANAPOLIS,2010-01-04,630,321,321,242,108,18
INDIANAPOLIS,2010-01-04,656,315,315,236,105,19
INDIANAPOLIS,2010-01-04,646,310,310,231,105,20
INDIANAPOLIS,2010-01-04,641,305,305,224,106,21
INDIANAPOLIS,2010-01-04,637,300,300,218,107,22
INDIANAPOLIS,2010-01-04,641,296,296,214,104,23
INDIANAPOLIS,2010-01-05,646,292,292,209,105,0
INDIANAPOLIS,2010-01-05,642,288,288,204,105,1
INDIANAPOLIS,2010-01-05,639,285,285,201,103,2
INDIANAPOLIS,2010-01-05,630,282,282,200,100,3
INDIANAPOLIS,2010-01-05,626,278,278,194,101,4
INDIANAPOLIS,2010-01-05,633,276,276,191,101,5
INDIANAPOLIS,2010-01-05,628,272,272,187,100,6
INDIANAPOLIS,2010-01-05,626,270,270,184,101,7
INDIANAPOLIS,2010-01-05,624,268,268,183,100,8
INDIANAPOLIS,2010-01-05,597,273,273,189,100,9
INDIANAPOLIS,2010-01-05,618,286,286,200,107,10
INDIANAPOLIS,2010-01-05,593,303,303,219,113,11
INDIANAPOLIS,2010-01-05,597,318,318,234,119,12
INDIANAPOLIS,2010-01-05,633,330,330,248,118,13
INDIANAPOLIS,2010-01-05,638,339,339,259,120,14
INDIANAPOLIS,2010-01-05,624,343,343,264,122,15
INDIANAPOLIS,2010-01-05,640,343,343,264,120,16
INDIANAPOLIS,2010-01-05,624,335,335,257,115,17
INDIANAPOLIS,2010-01-05,622,322,322,242,108,18
INDIANAPOLIS,2010-01-05,649,315,315,236,105,19
INDIANAPOLIS,2010-01-05,643,311,311,231,106,20
INDIANAPOLIS,2010-01-05,629,306,306,226,107,21
INDIANAPOLIS,2010-01-05,644,301,301,218,107,22
INDIANAPOLIS,2010-01-05,642,297,297,214,104,23
INDIANAPOLIS,2010-01-06,643,293,293,210,105,0
INDIANAPOLIS,2010-01-06,638,289,289,204,106,1
INDIANAPOLIS,2010-01-06,637,286,286,202,103,2
INDIANAPOLIS,2010-01-06,629,283,283,200,101,3
INDIANAPOLIS,2010-01-06,628,279,279,195,102,4
