city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
JACKSONVILLE,2010-01-01,297,495,495,480,50,0
JACKSONVILLE,2010-01-01,317,490,489,474,52,1
JACKSONVILLE,2010-01-01,313,484,484,467,51,2
JACKSONVILLE,2010-01-01,336,479,479,462,49,3
JACKSONVILLE,2010-01-01,370,475,475,457,52,4
JACKSONVILLE,2010-01-01,340,471,471,453,50,5
JACKSONVILLE,2010-01-01,354,468,468,449,52,6
JACKSONVILLE,2010-01-01,353,466,466,446,51,7
JACKSONVILLE,2010-01-01,373,469,469,450,53,8
JACKSONVILLE,2010-01-01,381,501,501,479,66,9
JACKSONVILLE,2010-01-01,359,542,542,523,81,10
JACKSONVILLE,2010-01-01,339,579,579,566,90,11
JACKSONVILLE,2010-01-01,321,603,603,592,99,12
JACKSONVILLE,2010-01-01,303,618,617,609,104,13
JACKSONVILLE,2010-01-01,288,628,627,620,103,14
JACKSONVILLE,2010-01-01,287,631,630,623,105,15
JACKSONVILLE,2010-01-01,294,625,625,617,101,16
JACKSONVILLE,2010-01-01,296,604,604,596,90,17
JACKSONVILLE,2010-01-01,306,564,564,553,70,18
JACKSONVILLE,2010-01-01,297,539,539,528,61,19
JACKSONVILLE,2010-01-01,317,524,524,513,57,20
JACKSONVILLE,2010-01-01,316,512,512,500,53,21
JACKSONVILLE,2010-01-01,297,505,505,492,52,22
JACKSONVILLE,2010-01-01,304,499,499,484,52,23
JACKSONVILLE,2010-01-02,296,492,492,478,49,0
JACKSONVILLE,2010-01-02,311,487,487,471,50,1
JACKSONVILLE,2010-01-02,309,481,481,464,49,2
JACKSONVILLE,2010-01-02,338,477,477,459,48,3
JACKSONVILLE,2010-01-02,377,473,473,455,51,4
JACKSONVILLE,2010-01-02,350,469,469,451,48,5
JACKSONVILLE,2010-01-02,362,466,466,448,50,6
JACKSONVILLE,2010-01-02,358,464,464,445,50,7
JACKSONVILLE,2010-01-02,366,468,468,448,52,8
JACKSONVILLE,2010-01-02,373,500,500,479,64,9
JACKSONVILLE,2010-01-02,351,542,541,524,79,10
JACKSONVILLE,2010-01-02,328,579,579,567,89,11
JACKSONVILLE,2010-01-02,314,604,604,594,98,12
JACKSONVILLE,2010-01-02,300,620,619,612,103,13
JACKSONVILLE,2010-01-02,287,630,629,623,102,14
JACKSONVILLE,2010-01-02,283,633,631,625,104,15
JACKSONVILLE,2010-01-02,302,626,626,619,101,16
JACKSONVILLE,2010-01-02,296,605,605,598,90,17
JACKSONVILLE,2010-01-02,300,565,565,555,69,18
JACKSONVILLE,2010-01-02,295,540,540,530,61,19
JACKSONVILLE,2010-01-02,313,526,526,515,57,20
