city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
LONG BEACH,2010-01-01,279,511,511,505,34,0
LONG BEACH,2010-01-01,267,479,479,469,33,6
LONG BEACH,2010-01-01,265,477,477,467,33,7
LONG BEACH,2010-01-01,288,492,492,484,36,8
LONG BEACH,2010-01-01,280,533,533,528,41,9
LONG BEACH,2010-01-01,287,577,577,576,48,10
LONG BEACH,2010-01-01,273,612,612,612,52,11
LONG BEACH,2010-01-01,260,634,634,634,57,12
LONG BEACH,2010-01-01,238,646,646,646,63,13
LONG BEACH,2010-01-01,251,647,647,647,72,14
LONG BEACH,2010-01-01,251,641,641,641,77,15
LONG BEACH,2010-01-01,250,627,627,627,76,16
LONG BEACH,2010-01-01,248,601,601,601,66,17
LONG BEACH,2010-01-01,233,580,580,579,58,18
LONG BEACH,2010-01-01,196,564,564,562,48,19
LONG BEACH,2010-01-01,224,550,550,548,39,20
LONG BEACH,2010-01-01,226,539,539,536,35,21
LONG BEACH,2010-01-01,239,528,528,525,34,22
LONG BEACH,2010-01-01,243,519,519,514,35,23
LONG BEACH,2010-01-02,282,512,512,506,33,0
LONG BEACH,2010-01-02,271,480,480,471,33,6
LONG BEACH,2010-01-02,272,479,479,469,33,7
LONG BEACH,2010-01-02,288,494,494,485,36,8
LONG BEACH,2010-01-02,278,534,534,530,42,9
LONG BEACH,2010-01-02,285,578,578,577,48,10
LONG BEACH,2010-01-02,265,613,613,613,52,11
LONG BEACH,2010-01-02,248,635,635,635,57,12
LONG BEACH,2010-01-02,239,647,647,647,63,13
LONG BEACH,2010-01-02,248,648,648,648,72,14
LONG BEACH,2010-01-02,239,642,642,642,76,15
LONG BEACH,2010-01-02,250,628,628,628,76,16
LONG BEACH,2010-01-02,249,602,602,602,67,17
LONG BEACH,2010-01-02,231,581,581,580,57,18
LONG BEACH,2010-01-02,194,565,565,564,47,19
LONG BEACH,2010-01-02,221,552,552,550,39,20
LONG BEACH,2010-01-02,222,540,540,538,35,21
LONG BEACH,2010-01-02,238,530,530,527,34,22
LONG BEACH,2010-01-02,239,521,521,516,36,23
LONG BEACH,2010-01-03,277,514,514,509,33,0
LONG BEACH,2010-01-03,279,483,483,474,34,6
LONG BEACH,2010-01-03,274,481,481,472,34,7
LONG BEACH,2010-01-03,291,496,496,488,37,8
LONG BEACH,2010-01-03,293,536,536,533,42,9
LONG BEACH,2010-01-03,291,580,580,579,49,10
LONG BEACH,2010-01-03,277,616,615,615,52,11
LONG BEACH,2010-01-03,249,638,638,638,57,12
LONG BEACH,2010-01-03,242,650,650,650,64,13
