city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
LOS ANGELES,2010-01-01,258,542,542,538,56,0
LOS ANGELES,2010-01-01,241,533,533,528,56,1
LOS ANGELES,2010-01-01,232,523,523,516,51,2
LOS ANGELES,2010-01-01,232,515,515,506,49,3
LOS ANGELES,2010-01-01,245,508,508,499,49,4
LOS ANGELES,2010-01-01,256,504,504,494,49,5
LOS ANGELES,2010-01-01,257,502,502,492,49,6
LOS ANGELES,2010-01-01,249,506,506,494,55,7
LOS ANGELES,2010-01-01,277,522,522,513,57,8
LOS ANGELES,2010-01-01,250,553,553,549,62,9
LOS ANGELES,2010-01-01,268,586,586,584,64,10
LOS ANGELES,2010-01-01,267,612,612,612,64,11
LOS ANGELES,2010-01-01,244,628,628,627,69,12
LOS ANGELES,2010-01-01,264,631,631,630,85,13
LOS ANGELES,2010-01-01,254,626,626,625,94,14
LOS ANGELES,2010-01-01,281,616,616,616,97,15
LOS ANGELES,2010-01-01,271,604,604,604,94,16
LOS ANGELES,2010-01-01,255,584,584,583,84,17
LOS ANGELES,2010-01-01,242,574,574,573,74,18
LOS ANGELES,2010-01-01,231,569,569,567,66,19
LOS ANGELES,2010-01-01,232,567,567,565,58,20
LOS ANGELES,2010-01-01,256,563,563,561,54,21
LOS ANGELES,2010-01-01,271,555,555,552,53,22
LOS ANGELES,2010-01-01,241,551,551,547,56,23
LOS ANGELES,2010-01-02,263,543,543,539,55,0
LOS ANGELES,2010-01-02,243,534,534,528,56,1
LOS ANGELES,2010-01-02,237,524,524,518,51,2
LOS ANGELES,2010-01-02,239,516,516,508,48,3
LOS ANGELES,2010-01-02,251,509,509,501,47,4
LOS ANGELES,2010-01-02,262,506,506,496,49,5
LOS ANGELES,2010-01-02,265,503,503,493,50,6
LOS ANGELES,2010-01-02,251,508,508,496,55,7
LOS ANGELES,2010-01-02,273,523,523,515,57,8
LOS ANGELES,2010-01-02,245,554,554,550,62,9
LOS ANGELES,2010-01-02,264,586,586,585,64,10
LOS ANGELES,2010-01-02,268,612,612,612,63,11
LOS ANGELES,2010-01-02,251,628,628,627,68,12
LOS ANGELES,2010-01-02,266,630,630,630,84,13
