city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
MEMPHIS,2010-01-01,482,397,397,351,84,0
MEMPHIS,2010-01-01,473,391,391,346,80,1
MEMPHIS,2010-01-01,483,386,386,340,78,2
MEMPHIS,2010-01-01,470,382,382,336,79,3
MEMPHIS,2010-01-01,468,380,380,329,85,4
MEMPHIS,2010-01-01,485,375,375,326,81,5
MEMPHIS,2010-01-01,501,373,373,324,82,6
MEMPHIS,2010-01-01,491,371,371,322,81,7
MEMPHIS,2010-01-01,512,378,378,329,83,8
MEMPHIS,2010-01-01,499,398,398,344,95,9
MEMPHIS,2010-01-01,521,419,419,369,100,10
MEMPHIS,2010-01-01,481,438,438,393,101,11
MEMPHIS,2010-01-01,490,453,453,411,103,12
MEMPHIS,2010-01-01,481,466,465,428,103,13
MEMPHIS,2010-01-01,461,472,472,436,103,14
MEMPHIS,2010-01-01,465,474,474,438,104,15
MEMPHIS,2010-01-01,479,469,469,431,100,16
MEMPHIS,2010-01-01,485,452,452,412,91,17
MEMPHIS,2010-01-01,503,439,438,398,85,18
MEMPHIS,2010-01-01,488,427,427,385,85,19
MEMPHIS,2010-01-01,472,419,419,377,81,20
MEMPHIS,2010-01-01,465,413,412,370,80,21
MEMPHIS,2010-01-01,461,407,407,365,79,22
MEMPHIS,2010-01-01,467,402,402,360,79,23
MEMPHIS,2010-01-02,485,399,399,354,83,0
MEMPHIS,2010-01-02,476,393,393,349,79,1
MEMPHIS,2010-01-02,489,388,388,343,77,2
MEMPHIS,2010-01-02,470,385,385,340,78,3
MEMPHIS,2010-01-02,466,383,383,333,84,4
MEMPHIS,2010-01-02,483,378,378,329,80,5
MEMPHIS,2010-01-02,494,375,375,327,80,6
MEMPHIS,2010-01-02,482,374,374,325,80,7
MEMPHIS,2010-01-02,499,381,381,332,82,8
MEMPHIS,2010-01-02,483,401,401,349,95,9
MEMPHIS,2010-01-02,507,423,423,374,100,10
MEMPHIS,2010-01-02,470,442,442,397,101,11
MEMPHIS,2010-01-02,483,457,457,417,104,12
MEMPHIS,2010-01-02,476,469,469,433,103,13
MEMPHIS,2010-01-02,468,476,476,440,104,14
MEMPHIS,2010-01-02,475,478,478,443,105,15
MEMPHIS,2010-01-02,479,472,472,435,101,16
MEMPHIS,2010-01-02,491,455,455,416,91,17
MEMPHIS,2010-01-02,507,442,442,402,85,18
MEMPHIS,2010-01-02,490,431,430,389,86,19
MEMPHIS,2010-01-02,479,423,422,381,82,20
MEMPHIS,2010-01-02,472,417,416,375,81,21
MEMPHIS,2010-01-02,466,411,411,370,80,22
MEMPHIS,2010-01-02,472,406,406,364,80,23
MEMPHIS,2010-01-03,483,403,403,358,84,0
