city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
MIAMI,2010-01-01,147,661,661,659,74,0
MIAMI,2010-01-01,157,655,655,653,71,1
MIAMI,2010-01-01,178,649,649,646,68,2
MIAMI,2010-01-01,179,644,644,641,67,3
MIAMI,2010-01-01,182,640,640,637,65,4
MIAMI,2010-01-01,170,637,637,633,65,5
MIAMI,2010-01-01,155,635,635,631,62,6
MIAMI,2010-01-01,145,633,633,628,65,7
MIAMI,2010-01-01,153,643,643,639,69,8
MIAMI,2010-01-01,143,676,676,673,86,9
MIAMI,2010-01-01,140,704,703,702,105,10
MIAMI,2010-01-01,128,727,723,722,113,11
MIAMI,2010-01-01,142,743,736,736,116,12
MIAMI,2010-01-01,150,751,743,743,118,13
MIAMI,2010-01-01,148,753,746,746,119,14
MIAMI,2010-01-01,133,751,745,745,117,15
MIAMI,2010-01-01,164,741,737,737,116,16
MIAMI,2010-01-01,163,726,724,724,107,17
MIAMI,2010-01-01,175,706,706,705,94,18
MIAMI,2010-01-01,168,694,694,694,83,19
MIAMI,2010-01-01,161,686,686,685,81,20
MIAMI,2010-01-01,141,679,679,678,77,21
MIAMI,2010-01-01,139,673,673,672,75,22
MIAMI,2010-01-01,154,666,666,664,73,23
MIAMI,2010-01-02,142,660,660,658,73,0
MIAMI,2010-01-02,151,653,653,651,69,1
MIAMI,2010-01-02,174,647,647,644,67,2
MIAMI,2010-01-02,183,642,642,639,65,3
MIAMI,2010-01-02,191,638,638,635,63,4
MIAMI,2010-01-02,174,635,635,632,63,5
MIAMI,2010-01-02,162,634,634,630,61,6
MIAMI,2010-01-02,156,632,632,627,65,7
MIAMI,2010-01-02,158,642,642,637,68,8
MIAMI,2010-01-02,145,675,675,672,86,9
MIAMI,2010-01-02,144,703,702,701,105,10
MIAMI,2010-01-02,135,726,722,721,113,11
MIAMI,2010-01-02,142,742,736,736,115,12
MIAMI,2010-01-02,155,750,743,743,117,13
MIAMI,2010-01-02,156,753,746,746,118,14
MIAMI,2010-01-02,144,751,744,744,116,15
MIAMI,2010-01-02,168,741,737,737,116,16
MIAMI,2010-01-02,165,726,724,724,107,17
MIAMI,2010-01-02,177,706,705,705,94,18
MIAMI,2010-01-02,168,694,694,693,83,19
MIAMI,2010-01-02,158,686,685,685,82,20
MIAMI,2010-01-02,141,679,679,678,78,21
MIAMI,2010-01-02,151,672,672,671,75,22
MIAMI,2010-01-02,149,666,665,664,73,23
MIAMI,2010-01-03,131,659,659,657,73,0
MIAMI,2010-01-03,151,653,653,651,69,1
MIAMI,2010-01-03,176,647,646,644,67,2
MIAMI,2010-01-03,177,642,642,639,65,3
MIAMI,2010-01-03,189,638,638,635,63,4
MIAMI,2010-01-03,170,635,635,631,63,5
MIAMI,2010-01-03,155,633,633,629,61,6
MIAMI,2010-01-03,154,632,632,627,64,7
MIAMI,2010-01-03,158,642,642,638,68,8
MIAMI,2010-01-03,143,675,675,672,86,9
MIAMI,2010-01-03,140,704,702,702,104,10
MIAMI,2010-01-03,133,727,723,722,112,11
MIAMI,2010-01-03,142,744,737,737,114,12
MIAMI,2010-01-03,153,752,744,744,117,13
MIAMI,2010-01-03,157,754,747,747,118,14
MIAMI,2010-01-03,146,752,745,745,116,15
MIAMI,2010-01-03,171,742,738,738,116,16
MIAMI,2010-01-03,167,727,726,726,107,17
MIAMI,2010-01-03,180,707,707,707,93,18
MIAMI,2010-01-03,179,696,695,695,82,19
MIAMI,2010-01-03,170,687,687,687,81,20
MIAMI,2010-01-03,154,680,680,679,77,21
MIAMI,2010-01-03,157,673,673,673,75,22
MIAMI,2010-01-03,144,667,666,665,73,23
MIAMI,2010-01-04,136,660,660,659,73,0
MIAMI,2010-01-04,156,654,654,652,69,1
MIAMI,2010-01-04,187,648,648,646,67,2
MIAMI,2010-01-04,195,643,643,640,65,3
MIAMI,2010-01-04,193,639,638,636,62,4
MIAMI,2010-01-04,168,636,636,632,63,5
MIAMI,2010-01-04,162,633,633,630,61,6
MIAMI,2010-01-04,161,632,632,628,64,7
MIAMI,2010-01-04,160,642,642,638,69,8
MIAMI,2010-01-04,142,674,674,672,86,9
MIAMI,2010-01-04,140,704,702,702,103,10
MIAMI,2010-01-04,137,726,723,722,112,11
MIAMI,2010-01-04,144,743,736,736,114,12
MIAMI,2010-01-04,153,751,744,744,117,13
MIAMI,2010-01-04,155,753,746,746,118,14
MIAMI,2010-01-04,144,751,745,745,118,15
MIAMI,2010-01-04,164,741,737,737,117,16
MIAMI,2010-01-04,161,727,725,725,108,17
MIAMI,2010-01-04,171,707,707,706,94,18
MIAMI,2010-01-04,174,695,695,694,83,19
MIAMI,2010-01-04,160,686,686,685,82,20
MIAMI,2010-01-04,147,679,678,678,78,21
MIAMI,2010-01-04,153,672,672,671,75,22
MIAMI,2010-01-04,137,665,664,663,73,23
MIAMI,2010-01-05,129,658,658,656,73,0
MIAMI,2010-01-05,154,651,651,649,69,1
MIAMI,2010-01-05,185,645,645,642,67,2
MIAMI,2010-01-05,188,640,640,636,65,3
MIAMI,2010-01-05,194,636,635,632,64,4
MIAMI,2010-01-05,169,633,633,629,63,5
MIAMI,2010-01-05,169,630,630,626,61,6
MIAMI,2010-01-05,157,629,629,624,64,7
MIAMI,2010-01-05,158,639,639,634,69,8
MIAMI,2010-01-05,144,671,671,668,86,9
MIAMI,2010-01-05,135,701,700,699,103,10
MIAMI,2010-01-05,126,725,721,720,113,11
MIAMI,2010-01-05,135,741,735,735,115,12
MIAMI,2010-01-05,146,750,743,743,118,13
MIAMI,2010-01-05,146,751,745,745,119,14
MIAMI,2010-01-05,142,750,744,744,119,15
MIAMI,2010-01-05,153,739,736,736,118,16
MIAMI,2010-01-05,158,725,724,724,109,17
MIAMI,2010-01-05,164,705,705,705,96,18
MIAMI,2010-01-05,165,693,693,692,84,19
MIAMI,2010-01-05,153,684,684,683,82,20
MIAMI,2010-01-05,143,677,677,676,79,21
MIAMI,2010-01-05,148,670,670,668,76,22
MIAMI,2010-01-05,131,662,662,660,74,23
MIAMI,2010-01-06,122,656,656,653,74,0
MIAMI,2010-01-06,147,649,649,647,70,1
MIAMI,2010-01-06,176,643,643,640,68,2
MIAMI,2010-01-06,181,638,638,634,66,3
MIAMI,2010-01-06,194,633,633,629,65,4
MIAMI,2010-01-06,171,630,630,626,64,5
MIAMI,2010-01-06,169,628,628,623,63,6
MIAMI,2010-01-06,159,626,626,620,66,7
MIAMI,2010-01-06,151,636,636,631,70,8
MIAMI,2010-01-06,130,669,669,665,87,9
MIAMI,2010-01-06,124,699,698,697,104,10
MIAMI,2010-01-06,124,723,719,718,114,11
MIAMI,2010-01-06,130,738,733,733,115,12
MIAMI,2010-01-06,149,747,741,741,118,13
MIAMI,2010-01-06,146,750,744,743,120,14
MIAMI,2010-01-06,149,748,743,742,119,15
MIAMI,2010-01-06,156,738,735,734,118,16
MIAMI,2010-01-06,163,724,723,723,109,17
MIAMI,2010-01-06,164,704,704,703,97,18
MIAMI,2010-01-06,177,692,692,691,85,19
MIAMI,2010-01-06,161,683,683,682,83,20
MIAMI,2010-01-06,151,675,675,674,80,21
MIAMI,2010-01-06,151,668,668,666,77,22
MIAMI,2010-01-06,142,661,661,658,75,23
MIAMI,2010-01-07,134,654,654,651,75,0
MIAMI,2010-01-07,159,648,648,645,71,1
MIAMI,2010-01-07,174,641,641,637,69,2
MIAMI,2010-01-07,183,635,635,631,67,3
MIAMI,2010-01-07,196,631,631,627,66,4
MIAMI,2010-01-07,171,628,628,624,66,5
MIAMI,2010-01-07,187,626,626,621,65,6
MIAMI,2010-01-07,169,625,625,618,67,7
MIAMI,2010-01-07,164,634,634,629,71,8
MIAMI,2010-01-07,146,666,666,663,87,9
MIAMI,2010-01-07,135,697,696,695,104,10
MIAMI,2010-01-07,137,721,717,717,114,11
MIAMI,2010-01-07,134,737,732,731,116,12
MIAMI,2010-01-07,156,745,739,739,119,13
MIAMI,2010-01-07,157,748,742,742,119,14
MIAMI,2010-01-07,153,746,741,741,120,15
MIAMI,2010-01-07,160,736,733,732,119,16
MIAMI,2010-01-07,163,723,722,721,110,17
MIAMI,2010-01-07,159,703,703,702,97,18
MIAMI,2010-01-07,177,690,690,689,85,19
MIAMI,2010-01-07,164,681,681,680,83,20
MIAMI,2010-01-07,153,673,673,672,80,21
MIAMI,2010-01-07,162,666,666,664,76,22
MIAMI,2010-01-07,148,658,658,656,75,23
MIAMI,2010-01-08,140,651,651,649,75,0
MIAMI,2010-01-08,170,645,645,642,72,1
