city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
NEW YORK LAGUARDIA,2010-01-01,430,348,348,266,126,0
NEW YORK LAGUARDIA,2010-01-01,438,345,345,262,125,1
NEW YORK LAGUARDIA,2010-01-01,427,342,342,259,125,2
NEW YORK LAGUARDIA,2010-01-01,430,339,339,255,124,3
NEW YORK LAGUARDIA,2010-01-01,447,336,336,252,122,4
NEW YORK LAGUARDIA,2010-01-01,444,334,334,250,122,5
NEW YORK LAGUARDIA,2010-01-01,450,333,333,249,121,6
NEW YORK LAGUARDIA,2010-01-01,415,333,333,249,120,7
NEW YORK LAGUARDIA,2010-01-01,429,334,334,249,124,8
NEW YORK LAGUARDIA,2010-01-01,434,341,341,255,129,9
NEW YORK LAGUARDIA,2010-01-01,416,349,349,267,130,10
NEW YORK LAGUARDIA,2010-01-01,422,360,360,279,134,11
NEW YORK LAGUARDIA,2010-01-01,432,369,369,290,135,12
NEW YORK LAGUARDIA,2010-01-01,438,378,378,300,138,13
NEW YORK LAGUARDIA,2010-01-01,435,384,384,308,137,14
NEW YORK LAGUARDIA,2010-01-01,420,386,386,310,138,15
NEW YORK LAGUARDIA,2010-01-01,419,383,383,307,136,16
NEW YORK LAGUARDIA,2010-01-01,407,376,376,298,134,17
NEW YORK LAGUARDIA,2010-01-01,384,371,371,291,134,18
NEW YORK LAGUARDIA,2010-01-01,409,368,368,286,134,19
NEW YORK LAGUARDIA,2010-01-01,412,363,363,281,134,20
NEW YORK LAGUARDIA,2010-01-01,394,359,359,276,132,21
NEW YORK LAGUARDIA,2010-01-01,430,354,354,272,129,22
NEW YORK LAGUARDIA,2010-01-01,425,350,350,267,128,23
NEW YORK LAGUARDIA,2010-01-02,424,346,346,263,127,0
NEW YORK LAGUARDIA,2010-01-02,440,343,343,259,125,1
NEW YORK LAGUARDIA,2010-01-02,430,340,340,256,125,2
NEW YORK LAGUARDIA,2010-01-02,436,337,337,253,123,3
NEW YORK LAGUARDIA,2010-01-02,450,335,334,250,121,4
NEW YORK LAGUARDIA,2010-01-02,448,333,333,249,120,5
NEW YORK LAGUARDIA,2010-01-02,457,331,331,247,120,6
NEW YORK LAGUARDIA,2010-01-02,415,331,331,247,120,7
NEW YORK LAGUARDIA,2010-01-02,425,332,332,247,124,8
NEW YORK LAGUARDIA,2010-01-02,435,339,339,254,129,9
NEW YORK LAGUARDIA,2010-01-02,416,348,348,265,130,10
NEW YORK LAGUARDIA,2010-01-02,419,359,359,277,134,11
NEW YORK LAGUARDIA,2010-01-02,425,369,368,289,135,12
NEW YORK LAGUARDIA,2010-01-02,436,377,377,299,138,13
NEW YORK LAGUARDIA,2010-01-02,431,383,383,307,137,14
NEW YORK LAGUARDIA,2010-01-02,420,385,385,309,138,15
NEW YORK LAGUARDIA,2010-01-02,421,383,383,306,135,16
NEW YORK LAGUARDIA,2010-01-02,413,376,376,297,134,17
NEW YORK LAGUARDIA,2010-01-02,387,370,370,290,134,18
NEW YORK LAGUARDIA,2010-01-02,401,367,367,286,134,19
NEW YORK LAGUARDIA,2010-01-02,412,362,362,280,134,20
NEW YORK LAGUARDIA,2010-01-02,394,358,358,276,132,21
NEW YORK LAGUARDIA,2010-01-02,434,353,353,270,130,22
NEW YORK LAGUARDIA,2010-01-02,429,349,349,266,128,23
NEW YORK LAGUARDIA,2010-01-03,431,345,345,261,127,0
NEW YORK LAGUARDIA,2010-01-03,449,342,342,258,125,1
NEW YORK LAGUARDIA,2010-01-03,431,339,339,255,125,2
NEW YORK LAGUARDIA,2010-01-03,441,336,336,252,122,3
NEW YORK LAGUARDIA,2010-01-03,458,334,333,249,121,4
NEW YORK LAGUARDIA,2010-01-03,449,332,332,247,120,5
NEW YORK LAGUARDIA,2010-01-03,460,331,331,246,121,6
NEW YORK LAGUARDIA,2010-01-03,417,330,330,245,121,7
NEW YORK LAGUARDIA,2010-01-03,420,332,332,246,124,8
NEW YORK LAGUARDIA,2010-01-03,435,339,339,253,129,9
NEW YORK LAGUARDIA,2010-01-03,406,348,348,264,131,10
NEW YORK LAGUARDIA,2010-01-03,410,358,358,276,134,11
NEW YORK LAGUARDIA,2010-01-03,433,367,367,287,135,12
NEW YORK LAGUARDIA,2010-01-03,429,376,376,298,137,13
NEW YORK LAGUARDIA,2010-01-03,422,382,382,305,136,14
NEW YORK LAGUARDIA,2010-01-03,419,384,384,309,137,15
NEW YORK LAGUARDIA,2010-01-03,418,382,382,306,135,16
NEW YORK LAGUARDIA,2010-01-03,415,375,375,296,134,17
NEW YORK LAGUARDIA,2010-01-03,394,370,370,290,133,18
NEW YORK LAGUARDIA,2010-01-03,398,366,366,285,132,19
NEW YORK LAGUARDIA,2010-01-03,411,362,362,280,132,20
NEW YORK LAGUARDIA,2010-01-03,404,357,357,276,129,21
NEW YORK LAGUARDIA,2010-01-03,438,353,353,270,128,22
NEW YORK LAGUARDIA,2010-01-03,430,349,349,265,126,23
NEW YORK LAGUARDIA,2010-01-04,431,344,344,261,126,0
