city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
NEW YORK,2010-01-01,433,339,339,258,120,0
NEW YORK,2010-01-01,445,336,336,254,119,1
NEW YORK,2010-01-01,444,334,334,253,117,2
NEW YORK,2010-01-01,455,331,331,251,114,3
NEW YORK,2010-01-01,451,328,328,248,113,4
NEW YORK,2010-01-01,455,327,327,245,115,5
NEW YORK,2010-01-01,457,325,325,243,116,6
NEW YORK,2010-01-01,408,325,325,244,114,7
NEW YORK,2010-01-01,407,329,329,246,119,8
NEW YORK,2010-01-01,414,341,341,259,125,9
NEW YORK,2010-01-01,402,354,354,273,130,10
NEW YORK,2010-01-01,403,367,367,289,131,11
NEW YORK,2010-01-01,420,377,377,303,131,12
NEW YORK,2010-01-01,412,384,384,310,133,13
NEW YORK,2010-01-01,408,388,388,315,134,14
NEW YORK,2010-01-01,414,387,387,315,132,15
NEW YORK,2010-01-01,398,381,381,307,128,16
NEW YORK,2010-01-01,407,371,371,294,129,17
NEW YORK,2010-01-01,395,365,365,287,128,18
NEW YORK,2010-01-01,428,362,362,282,129,19
NEW YORK,2010-01-01,423,358,358,276,130,20
NEW YORK,2010-01-01,424,351,351,269,127,21
NEW YORK,2010-01-01,438,347,347,265,124,22
NEW YORK,2010-01-01,424,342,342,261,121,23
NEW YORK,2010-01-02,429,337,337,255,120,0
NEW YORK,2010-01-02,442,334,334,251,119,1
NEW YORK,2010-01-02,457,332,332,250,117,2
NEW YORK,2010-01-02,463,329,329,248,115,3
NEW YORK,2010-01-02,460,327,326,245,113,4
NEW YORK,2010-01-02,461,325,325,243,115,5
NEW YORK,2010-01-02,472,324,324,241,116,6
NEW YORK,2010-01-02,417,323,323,242,115,7
NEW YORK,2010-01-02,407,327,327,244,118,8
NEW YORK,2010-01-02,419,339,339,257,125,9
NEW YORK,2010-01-02,406,353,353,271,131,10
NEW YORK,2010-01-02,399,365,365,287,132,11
NEW YORK,2010-01-02,418,376,376,301,131,12
NEW YORK,2010-01-02,411,383,383,309,134,13
NEW YORK,2010-01-02,410,387,386,313,134,14
NEW YORK,2010-01-02,417,387,386,314,131,15
NEW YORK,2010-01-02,397,381,380,307,128,16
NEW YORK,2010-01-02,413,370,370,293,129,17
NEW YORK,2010-01-02,397,365,365,286,129,18
NEW YORK,2010-01-02,420,361,361,282,128,19
NEW YORK,2010-01-02,422,357,357,275,129,20
NEW YORK,2010-01-02,420,351,350,269,126,21
NEW YORK,2010-01-02,444,346,346,264,125,22
NEW YORK,2010-01-02,422,342,342,260,121,23
NEW YORK,2010-01-03,429,336,336,254,120,0
NEW YORK,2010-01-03,450,333,333,250,119,1
NEW YORK,2010-01-03,460,331,331,249,117,2
NEW YORK,2010-01-03,466,328,328,247,113,3
NEW YORK,2010-01-03,469,326,325,245,112,4
NEW YORK,2010-01-03,467,324,324,242,114,5
NEW YORK,2010-01-03,475,323,323,240,115,6
NEW YORK,2010-01-03,414,323,323,242,114,7
NEW YORK,2010-01-03,403,326,326,243,118,8
NEW YORK,2010-01-03,413,339,339,256,125,9
NEW YORK,2010-01-03,400,352,352,271,130,10
NEW YORK,2010-01-03,393,364,364,286,131,11
NEW YORK,2010-01-03,418,375,375,300,131,12
NEW YORK,2010-01-03,402,382,382,308,133,13
NEW YORK,2010-01-03,400,386,385,312,133,14
NEW YORK,2010-01-03,414,385,385,313,131,15
NEW YORK,2010-01-03,400,379,379,306,127,16
NEW YORK,2010-01-03,413,369,369,292,128,17
NEW YORK,2010-01-03,400,363,363,285,127,18
NEW YORK,2010-01-03,416,360,360,281,126,19
NEW YORK,2010-01-03,417,356,356,275,127,20
NEW YORK,2010-01-03,416,349,349,268,125,21
NEW YORK,2010-01-03,444,345,345,264,122,22
NEW YORK,2010-01-03,423,341,341,259,120,23
NEW YORK,2010-01-04,427,335,335,252,119,0
NEW YORK,2010-01-04,444,332,332,249,119,1
NEW YORK,2010-01-04,462,330,330,248,117,2
NEW YORK,2010-01-04,463,327,327,246,113,3
NEW YORK,2010-01-04,470,324,324,243,111,4
NEW YORK,2010-01-04,469,323,323,241,114,5
NEW YORK,2010-01-04,483,322,322,238,116,6
NEW YORK,2010-01-04,417,321,321,240,114,7
NEW YORK,2010-01-04,403,325,325,242,117,8
NEW YORK,2010-01-04,414,338,338,255,125,9
NEW YORK,2010-01-04,404,351,351,270,130,10
NEW YORK,2010-01-04,397,363,363,285,132,11
NEW YORK,2010-01-04,426,373,373,298,132,12
NEW YORK,2010-01-04,414,380,380,304,135,13
NEW YORK,2010-01-04,402,384,384,308,136,14
NEW YORK,2010-01-04,417,384,384,310,132,15
NEW YORK,2010-01-04,391,378,378,304,129,16
NEW YORK,2010-01-04,411,368,368,290,129,17
NEW YORK,2010-01-04,393,362,362,283,129,18
NEW YORK,2010-01-04,410,359,359,279,128,19
NEW YORK,2010-01-04,417,354,354,273,129,20
NEW YORK,2010-01-04,418,348,348,266,126,21
NEW YORK,2010-01-04,429,343,343,261,123,22
NEW YORK,2010-01-04,419,339,339,257,121,23
NEW YORK,2010-01-05,421,334,334,250,121,0
NEW YORK,2010-01-05,443,331,331,246,121,1
NEW YORK,2010-01-05,455,329,329,245,119,2
NEW YORK,2010-01-05,456,326,326,243,115,3
NEW YORK,2010-01-05,464,323,323,241,113,4
NEW YORK,2010-01-05,469,322,322,238,116,5
NEW YORK,2010-01-05,479,320,320,236,118,6
NEW YORK,2010-01-05,418,320,320,237,116,7
NEW YORK,2010-01-05,407,323,323,239,119,8
NEW YORK,2010-01-05,411,336,336,251,127,9
NEW YORK,2010-01-05,401,349,349,266,131,10
NEW YORK,2010-01-05,395,361,361,281,133,11
NEW YORK,2010-01-05,417,371,371,295,132,12
NEW YORK,2010-01-05,410,378,378,302,136,13
NEW YORK,2010-01-05,398,382,382,306,136,14
NEW YORK,2010-01-05,415,382,382,307,133,15
NEW YORK,2010-01-05,386,376,376,301,129,16
NEW YORK,2010-01-05,402,365,365,287,129,17
NEW YORK,2010-01-05,381,360,360,279,129,18
NEW YORK,2010-01-05,395,356,356,275,127,19
NEW YORK,2010-01-05,413,352,352,269,128,20
NEW YORK,2010-01-05,413,345,345,262,126,21
NEW YORK,2010-01-05,426,341,341,258,123,22
NEW YORK,2010-01-05,428,337,337,255,121,23
NEW YORK,2010-01-06,418,332,332,248,121,0
NEW YORK,2010-01-06,446,328,328,244,120,1
NEW YORK,2010-01-06,457,326,326,243,118,2
NEW YORK,2010-01-06,456,324,324,240,115,3
NEW YORK,2010-01-06,453,321,321,238,113,4
NEW YORK,2010-01-06,447,319,319,235,116,5
NEW YORK,2010-01-06,479,318,318,233,117,6
NEW YORK,2010-01-06,417,318,318,234,116,7
NEW YORK,2010-01-06,406,321,321,235,120,8
NEW YORK,2010-01-06,413,333,333,247,128,9
