city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
NEWARK,2010-01-01,431,332,332,257,100,0
NEWARK,2010-01-01,459,327,327,253,96,1
NEWARK,2010-01-01,480,323,323,250,93,2
NEWARK,2010-01-01,460,319,319,245,94,3
NEWARK,2010-01-01,483,317,317,241,94,4
NEWARK,2010-01-01,478,314,314,239,93,5
NEWARK,2010-01-01,457,313,313,238,93,6
NEWARK,2010-01-01,434,312,312,236,95,7
NEWARK,2010-01-01,433,315,315,238,99,8
NEWARK,2010-01-01,427,329,329,250,109,9
NEWARK,2010-01-01,422,345,345,268,114,10
NEWARK,2010-01-01,428,362,362,287,120,11
NEWARK,2010-01-01,440,374,374,302,123,12
NEWARK,2010-01-01,445,384,384,312,127,13
NEWARK,2010-01-01,442,390,390,320,126,14
NEWARK,2010-01-01,424,390,390,321,125,15
NEWARK,2010-01-01,445,385,385,315,122,16
NEWARK,2010-01-01,435,373,373,301,117,17
NEWARK,2010-01-01,433,365,365,293,111,18
NEWARK,2010-01-01,433,359,359,285,110,19
NEWARK,2010-01-01,433,351,351,277,108,20
NEWARK,2010-01-01,443,346,346,271,107,21
NEWARK,2010-01-01,448,340,340,264,106,22
NEWARK,2010-01-01,444,335,335,260,102,23
NEWARK,2010-01-02,436,330,330,254,100,0
NEWARK,2010-01-02,465,325,325,251,96,1
NEWARK,2010-01-02,476,321,321,248,93,2
NEWARK,2010-01-02,468,317,317,243,94,3
NEWARK,2010-01-02,489,315,315,239,94,4
NEWARK,2010-01-02,485,313,313,238,94,5
NEWARK,2010-01-02,459,312,312,237,93,6
NEWARK,2010-01-02,436,311,311,233,96,7
NEWARK,2010-01-02,434,314,314,236,101,8
NEWARK,2010-01-02,430,327,327,248,110,9
NEWARK,2010-01-02,420,344,344,266,114,10
NEWARK,2010-01-02,421,361,361,285,120,11
NEWARK,2010-01-02,438,374,373,301,124,12
NEWARK,2010-01-02,444,383,383,311,128,13
NEWARK,2010-01-02,444,389,389,319,126,14
NEWARK,2010-01-02,429,389,389,320,125,15
NEWARK,2010-01-02,451,384,384,314,122,16
NEWARK,2010-01-02,442,372,372,300,117,17
NEWARK,2010-01-02,446,364,364,292,110,18
NEWARK,2010-01-02,440,358,358,285,110,19
NEWARK,2010-01-02,433,350,350,276,107,20
NEWARK,2010-01-02,446,345,345,271,107,21
NEWARK,2010-01-02,450,339,339,264,105,22
NEWARK,2010-01-02,453,334,334,260,101,23
NEWARK,2010-01-03,438,329,329,254,99,0
NEWARK,2010-01-03,470,324,324,250,95,1
NEWARK,2010-01-03,477,320,320,246,92,2
NEWARK,2010-01-03,472,316,316,241,93,3
NEWARK,2010-01-03,499,314,314,239,93,4
NEWARK,2010-01-03,492,312,312,237,92,5
NEWARK,2010-01-03,466,311,311,235,93,6
NEWARK,2010-01-03,438,310,310,232,95,7
NEWARK,2010-01-03,437,313,313,236,99,8
NEWARK,2010-01-03,433,327,327,247,109,9
NEWARK,2010-01-03,418,343,343,266,113,10
NEWARK,2010-01-03,419,360,360,285,119,11
NEWARK,2010-01-03,436,373,373,300,122,12
NEWARK,2010-01-03,444,382,382,310,127,13
NEWARK,2010-01-03,442,388,388,318,125,14
NEWARK,2010-01-03,430,389,389,320,124,15
NEWARK,2010-01-03,454,384,383,313,120,16
NEWARK,2010-01-03,440,372,372,300,116,17
NEWARK,2010-01-03,444,363,363,292,109,18
NEWARK,2010-01-03,431,357,357,285,109,19
NEWARK,2010-01-03,441,350,350,276,106,20
NEWARK,2010-01-03,444,344,344,270,105,21
NEWARK,2010-01-03,445,338,338,263,104,22
NEWARK,2010-01-03,451,333,333,259,100,23
NEWARK,2010-01-04,433,328,327,253,98,0
NEWARK,2010-01-04,466,323,323,249,94,1
NEWARK,2010-01-04,477,319,319,245,92,2
NEWARK,2010-01-04,467,315,315,240,93,3
NEWARK,2010-01-04,491,313,313,238,92,4
NEWARK,2010-01-04,489,311,311,235,93,5
NEWARK,2010-01-04,462,310,310,234,93,6
NEWARK,2010-01-04,442,309,309,231,95,7
NEWARK,2010-01-04,442,312,312,234,99,8
NEWARK,2010-01-04,432,325,325,246,109,9
NEWARK,2010-01-04,412,342,342,265,114,10
NEWARK,2010-01-04,418,358,358,283,119,11
NEWARK,2010-01-04,440,371,371,297,124,12
NEWARK,2010-01-04,444,381,380,307,128,13
NEWARK,2010-01-04,438,386,386,315,127,14
NEWARK,2010-01-04,429,387,387,317,125,15
NEWARK,2010-01-04,447,382,382,311,121,16
NEWARK,2010-01-04,435,370,370,297,118,17
NEWARK,2010-01-04,437,362,362,289,110,18
NEWARK,2010-01-04,429,356,356,282,110,19
NEWARK,2010-01-04,442,348,348,274,106,20
NEWARK,2010-01-04,447,343,343,268,106,21
NEWARK,2010-01-04,438,337,337,261,105,22
NEWARK,2010-01-04,444,332,332,256,102,23
NEWARK,2010-01-05,422,326,326,250,100,0
NEWARK,2010-01-05,453,321,321,246,96,1
NEWARK,2010-01-05,465,317,317,242,94,2
NEWARK,2010-01-05,467,314,314,237,95,3
NEWARK,2010-01-05,494,312,312,235,94,4
NEWARK,2010-01-05,490,309,309,233,94,5
NEWARK,2010-01-05,461,308,308,230,95,6
NEWARK,2010-01-05,445,306,306,227,96,7
NEWARK,2010-01-05,446,309,309,230,100,8
NEWARK,2010-01-05,432,323,323,242,110,9
NEWARK,2010-01-05,412,340,340,261,115,10
NEWARK,2010-01-05,418,356,356,279,121,11
NEWARK,2010-01-05,438,368,368,293,125,12
NEWARK,2010-01-05,434,378,378,303,129,13
NEWARK,2010-01-05,430,384,384,312,128,14
NEWARK,2010-01-05,425,385,385,313,126,15
NEWARK,2010-01-05,435,380,380,307,121,16
NEWARK,2010-01-05,419,367,367,293,118,17
NEWARK,2010-01-05,417,359,359,285,110,18
NEWARK,2010-01-05,416,353,353,278,109,19
NEWARK,2010-01-05,435,345,345,271,105,20
NEWARK,2010-01-05,436,340,340,265,105,21
NEWARK,2010-01-05,434,334,334,257,105,22
NEWARK,2010-01-05,442,329,329,253,101,23
NEWARK,2010-01-06,431,323,323,247,99,0
NEWARK,2010-01-06,460,319,319,243,95,1
NEWARK,2010-01-06,466,315,315,239,93,2
NEWARK,2010-01-06,464,312,312,235,94,3
NEWARK,2010-01-06,497,309,309,232,93,4
NEWARK,2010-01-06,486,307,307,230,94,5
NEWARK,2010-01-06,459,305,305,227,96,6
NEWARK,2010-01-06,434,304,304,224,96,7
NEWARK,2010-01-06,451,307,307,226,102,8
NEWARK,2010-01-06,435,321,321,238,110,9
NEWARK,2010-01-06,421,337,337,258,115,10
NEWARK,2010-01-06,420,354,354,277,120,11
NEWARK,2010-01-06,434,366,366,290,125,12
NEWARK,2010-01-06,427,377,377,301,130,13
NEWARK,2010-01-06,424,383,383,310,129,14
NEWARK,2010-01-06,425,383,383,311,127,15
NEWARK,2010-01-06,437,378,378,305,123,16
NEWARK,2010-01-06,412,365,365,290,119,17
NEWARK,2010-01-06,410,357,357,283,111,18
NEWARK,2010-01-06,414,350,350,274,110,19
