city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
PHILADELPHIA,2010-01-01,450,335,335,269,88,0
PHILADELPHIA,2010-01-01,443,331,331,265,88,1
PHILADELPHIA,2010-01-01,455,328,328,262,86,2
PHILADELPHIA,2010-01-01,472,325,325,259,85,3
PHILADELPHIA,2010-01-01,466,323,323,255,88,4
PHILADELPHIA,2010-01-01,487,322,322,255,87,5
PHILADELPHIA,2010-01-01,449,320,320,252,88,6
PHILADELPHIA,2010-01-01,417,320,320,249,91,7
PHILADELPHIA,2010-01-01,438,323,323,252,93,8
PHILADELPHIA,2010-01-01,449,339,339,267,100,9
PHILADELPHIA,2010-01-01,447,356,356,284,109,10
PHILADELPHIA,2010-01-01,445,372,372,302,114,11
PHILADELPHIA,2010-01-01,451,385,385,317,120,12
PHILADELPHIA,2010-01-01,411,394,394,329,121,13
PHILADELPHIA,2010-01-01,437,401,401,337,119,14
PHILADELPHIA,2010-01-01,426,401,401,337,120,15
PHILADELPHIA,2010-01-01,430,395,394,330,114,16
PHILADELPHIA,2010-01-01,421,381,381,316,106,17
PHILADELPHIA,2010-01-01,426,370,370,304,100,18
PHILADELPHIA,2010-01-01,423,363,363,297,97,19
PHILADELPHIA,2010-01-01,427,355,355,288,94,20
PHILADELPHIA,2010-01-01,440,348,348,281,93,21
PHILADELPHIA,2010-01-01,425,343,343,276,91,22
PHILADELPHIA,2010-01-01,453,339,339,274,87,23
PHILADELPHIA,2010-01-02,450,334,334,267,89,0
PHILADELPHIA,2010-01-02,446,330,330,263,88,1
PHILADELPHIA,2010-01-02,457,327,327,260,86,2
PHILADELPHIA,2010-01-02,477,324,324,257,85,3
PHILADELPHIA,2010-01-02,471,323,323,254,88,4
PHILADELPHIA,2010-01-02,490,321,321,254,87,5
PHILADELPHIA,2010-01-02,459,320,320,252,87,6
PHILADELPHIA,2010-01-02,429,319,319,249,90,7
PHILADELPHIA,2010-01-02,443,323,323,252,93,8
PHILADELPHIA,2010-01-02,460,339,339,267,101,9
PHILADELPHIA,2010-01-02,445,356,356,284,109,10
PHILADELPHIA,2010-01-02,447,372,372,303,114,11
PHILADELPHIA,2010-01-02,461,385,385,317,119,12
PHILADELPHIA,2010-01-02,414,394,394,330,120,13
PHILADELPHIA,2010-01-02,442,401,400,337,119,14
PHILADELPHIA,2010-01-02,440,401,401,338,120,15
PHILADELPHIA,2010-01-02,441,394,394,331,113,16
PHILADELPHIA,2010-01-02,425,380,380,316,106,17
PHILADELPHIA,2010-01-02,430,369,369,304,99,18
PHILADELPHIA,2010-01-02,424,363,362,297,96,19
PHILADELPHIA,2010-01-02,431,354,354,288,94,20
PHILADELPHIA,2010-01-02,443,348,348,281,93,21
