city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
PHOENIX,2010-01-01,164,511,511,504,41,0
PHOENIX,2010-01-01,175,500,500,490,42,1
PHOENIX,2010-01-01,162,491,491,479,44,2
PHOENIX,2010-01-01,157,482,482,469,43,3
PHOENIX,2010-01-01,186,475,475,461,44,4
PHOENIX,2010-01-01,188,468,468,453,45,5
PHOENIX,2010-01-01,178,463,463,447,45,6
PHOENIX,2010-01-01,180,460,460,443,48,7
PHOENIX,2010-01-01,176,462,462,444,48,8
PHOENIX,2010-01-01,184,490,490,476,54,9
PHOENIX,2010-01-01,206,527,527,519,61,10
PHOENIX,2010-01-01,186,564,564,560,66,11
PHOENIX,2010-01-01,206,592,592,591,63,12
PHOENIX,2010-01-01,202,614,614,612,60,13
PHOENIX,2010-01-01,197,631,631,629,56,14
PHOENIX,2010-01-01,206,641,641,640,58,15
PHOENIX,2010-01-01,200,643,643,642,55,16
PHOENIX,2010-01-01,203,634,634,634,55,17
PHOENIX,2010-01-01,177,608,608,606,47,18
PHOENIX,2010-01-01,197,585,585,582,40,19
PHOENIX,2010-01-01,190,564,564,562,36,20
PHOENIX,2010-01-01,168,548,548,546,32,21
PHOENIX,2010-01-01,158,536,536,532,37,22
PHOENIX,2010-01-01,153,523,523,518,39,23
PHOENIX,2010-01-02,162,512,512,505,42,0
PHOENIX,2010-01-02,170,501,501,491,42,1
PHOENIX,2010-01-02,157,492,492,480,45,2
PHOENIX,2010-01-02,152,483,483,470,44,3
PHOENIX,2010-01-02,182,476,476,462,45,4
PHOENIX,2010-01-02,183,470,470,454,47,5
PHOENIX,2010-01-02,171,464,464,448,46,6
PHOENIX,2010-01-02,176,461,461,444,48,7
PHOENIX,2010-01-02,170,463,463,445,49,8
PHOENIX,2010-01-02,178,492,492,478,54,9
PHOENIX,2010-01-02,200,528,528,521,60,10
PHOENIX,2010-01-02,184,564,564,560,64,11
PHOENIX,2010-01-02,197,594,594,592,62,12
PHOENIX,2010-01-02,201,615,615,614,59,13
PHOENIX,2010-01-02,194,632,632,631,56,14
PHOENIX,2010-01-02,196,643,643,643,57,15
PHOENIX,2010-01-02,195,645,645,645,55,16
PHOENIX,2010-01-02,200,637,637,637,55,17
PHOENIX,2010-01-02,175,611,611,609,46,18
PHOENIX,2010-01-02,200,587,587,585,39,19
PHOENIX,2010-01-02,199,566,566,564,35,20
PHOENIX,2010-01-02,172,550,550,548,32,21
PHOENIX,2010-01-02,159,537,537,534,36,22
PHOENIX,2010-01-02,154,525,525,520,38,23
PHOENIX,2010-01-03,160,514,514,507,41,0
PHOENIX,2010-01-03,171,503,503,494,41,1
PHOENIX,2010-01-03,158,494,494,482,44,2
PHOENIX,2010-01-03,153,485,485,472,44,3
PHOENIX,2010-01-03,183,478,478,464,44,4
