city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
PORTLAND,2010-01-01,621,389,389,335,96,0
PORTLAND,2010-01-01,637,386,386,333,95,1
PORTLAND,2010-01-01,664,385,385,332,95,2
PORTLAND,2010-01-01,656,383,383,329,93,3
PORTLAND,2010-01-01,677,383,383,330,93,4
PORTLAND,2010-01-01,646,381,381,328,92,5
PORTLAND,2010-01-01,658,381,381,328,90,6
PORTLAND,2010-01-01,661,382,382,327,96,7
PORTLAND,2010-01-01,646,380,380,326,94,8
PORTLAND,2010-01-01,609,387,387,334,93,9
PORTLAND,2010-01-01,631,399,399,346,98,10
PORTLAND,2010-01-01,613,412,412,360,105,11
PORTLAND,2010-01-01,607,423,423,371,108,12
PORTLAND,2010-01-01,614,430,430,380,111,13
PORTLAND,2010-01-01,603,434,434,383,110,14
PORTLAND,2010-01-01,603,432,432,381,111,15
PORTLAND,2010-01-01,603,425,425,372,109,16
PORTLAND,2010-01-01,604,412,412,357,106,17
PORTLAND,2010-01-01,645,406,406,350,104,18
PORTLAND,2010-01-01,631,404,404,347,104,19
PORTLAND,2010-01-01,670,401,401,344,107,20
PORTLAND,2010-01-01,640,398,398,341,104,21
PORTLAND,2010-01-01,651,395,395,339,102,22
PORTLAND,2010-01-01,609,392,392,337,99,23
PORTLAND,2010-01-02,619,390,390,337,96,0
PORTLAND,2010-01-02,634,388,388,335,96,1
PORTLAND,2010-01-02,661,386,386,334,95,2
PORTLAND,2010-01-02,650,385,385,331,94,3
PORTLAND,2010-01-02,673,385,385,331,93,4
PORTLAND,2010-01-02,637,383,383,330,94,5
PORTLAND,2010-01-02,661,383,383,330,92,6
PORTLAND,2010-01-02,658,384,384,329,98,7
PORTLAND,2010-01-02,645,382,382,327,96,8
PORTLAND,2010-01-02,606,389,389,336,95,9
PORTLAND,2010-01-02,628,401,401,348,100,10
PORTLAND,2010-01-02,608,414,414,361,106,11
PORTLAND,2010-01-02,610,424,424,373,109,12
PORTLAND,2010-01-02,609,432,432,382,113,13
PORTLAND,2010-01-02,593,435,435,385,112,14
PORTLAND,2010-01-02,611,434,434,383,112,15
PORTLAND,2010-01-02,604,426,426,374,110,16
PORTLAND,2010-01-02,614,414,414,359,106,17
PORTLAND,2010-01-02,648,408,408,352,104,18
PORTLAND,2010-01-02,625,405,405,350,103,19
PORTLAND,2010-01-02,668,402,402,345,107,20
PORTLAND,2010-01-02,634,399,399,342,104,21
PORTLAND,2010-01-02,645,397,397,341,102,22
PORTLAND,2010-01-02,609,394,394,339,99,23
PORTLAND,2010-01-03,624,392,392,339,97,0
PORTLAND,2010-01-03,640,390,390,337,96,1
PORTLAND,2010-01-03,656,388,388,335,96,2
PORTLAND,2010-01-03,648,386,386,333,94,3
PORTLAND,2010-01-03,675,386,386,333,93,4
PORTLAND,2010-01-03,636,384,384,331,94,5
PORTLAND,2010-01-03,668,384,384,331,93,6
PORTLAND,2010-01-03,661,385,385,330,99,7
PORTLAND,2010-01-03,648,384,384,328,97,8
PORTLAND,2010-01-03,606,391,391,337,96,9
PORTLAND,2010-01-03,629,402,402,349,100,10
PORTLAND,2010-01-03,602,415,415,363,107,11
PORTLAND,2010-01-03,614,426,426,375,109,12
PORTLAND,2010-01-03,601,433,433,384,113,13
PORTLAND,2010-01-03,591,437,437,388,111,14
PORTLAND,2010-01-03,612,436,436,386,111,15
PORTLAND,2010-01-03,611,428,428,376,110,16
PORTLAND,2010-01-03,615,416,416,361,106,17
PORTLAND,2010-01-03,661,410,410,354,104,18
PORTLAND,2010-01-03,631,407,407,352,103,19
PORTLAND,2010-01-03,667,404,404,348,106,20
PORTLAND,2010-01-03,635,401,401,345,103,21
PORTLAND,2010-01-03,642,399,399,343,102,22
PORTLAND,2010-01-03,608,395,395,342,99,23
PORTLAND,2010-01-04,615,393,393,341,96,0
PORTLAND,2010-01-04,646,391,391,338,96,1
PORTLAND,2010-01-04,662,388,388,336,95,2
PORTLAND,2010-01-04,642,387,387,334,93,3
PORTLAND,2010-01-04,661,386,386,333,93,4
PORTLAND,2010-01-04,630,384,384,331,94,5
PORTLAND,2010-01-04,662,385,385,332,92,6
PORTLAND,2010-01-04,662,385,385,330,97,7
PORTLAND,2010-01-04,645,384,384,329,96,8
PORTLAND,2010-01-04,599,390,390,338,94,9
PORTLAND,2010-01-04,626,402,402,349,100,10
PORTLAND,2010-01-04,600,415,415,363,107,11
PORTLAND,2010-01-04,610,426,426,375,108,12
PORTLAND,2010-01-04,592,434,434,385,111,13
PORTLAND,2010-01-04,585,437,437,389,110,14
PORTLAND,2010-01-04,604,436,436,387,110,15
PORTLAND,2010-01-04,607,429,429,378,109,16
PORTLAND,2010-01-04,615,417,417,363,105,17
PORTLAND,2010-01-04,665,410,410,356,102,18
PORTLAND,2010-01-04,624,407,407,353,101,19
PORTLAND,2010-01-04,653,404,404,349,105,20
PORTLAND,2010-01-04,628,401,401,346,102,21
PORTLAND,2010-01-04,638,399,399,343,101,22
PORTLAND,2010-01-04,604,395,395,342,98,23
PORTLAND,2010-01-05,614,393,393,341,96,0
PORTLAND,2010-01-05,649,391,391,339,95,1
PORTLAND,2010-01-05,671,388,388,336,95,2
PORTLAND,2010-01-05,660,387,387,335,92,3
PORTLAND,2010-01-05,683,386,386,334,92,4
PORTLAND,2010-01-05,651,385,385,332,94,5
PORTLAND,2010-01-05,679,385,385,333,92,6
PORTLAND,2010-01-05,680,386,386,332,97,7
PORTLAND,2010-01-05,667,385,385,330,96,8
PORTLAND,2010-01-05,618,392,392,339,96,9
PORTLAND,2010-01-05,643,403,403,350,100,10
PORTLAND,2010-01-05,612,416,416,364,107,11
PORTLAND,2010-01-05,625,427,427,376,109,12
PORTLAND,2010-01-05,594,435,435,387,111,13
PORTLAND,2010-01-05,594,439,439,390,111,14
PORTLAND,2010-01-05,606,438,438,389,110,15
PORTLAND,2010-01-05,619,431,431,380,109,16
PORTLAND,2010-01-05,621,419,419,366,105,17
PORTLAND,2010-01-05,679,412,412,358,102,18
PORTLAND,2010-01-05,626,408,408,355,100,19
PORTLAND,2010-01-05,658,406,406,352,103,20
PORTLAND,2010-01-05,628,403,402,348,100,21
PORTLAND,2010-01-05,633,400,400,345,100,22
PORTLAND,2010-01-05,605,397,397,343,97,23
PORTLAND,2010-01-06,613,394,394,343,95,0
PORTLAND,2010-01-06,651,393,393,341,94,1
PORTLAND,2010-01-06,676,390,390,339,93,2
PORTLAND,2010-01-06,667,389,389,338,90,3
PORTLAND,2010-01-06,690,388,388,337,90,4
PORTLAND,2010-01-06,658,387,387,335,93,5
PORTLAND,2010-01-06,679,387,387,335,91,6
PORTLAND,2010-01-06,679,388,388,334,97,7
PORTLAND,2010-01-06,669,387,387,333,95,8
PORTLAND,2010-01-06,613,394,393,341,96,9
PORTLAND,2010-01-06,638,405,404,353,100,10
PORTLAND,2010-01-06,610,418,418,366,107,11
PORTLAND,2010-01-06,613,430,429,379,108,12
PORTLAND,2010-01-06,586,437,437,390,111,13
PORTLAND,2010-01-06,601,441,441,393,110,14
PORTLAND,2010-01-06,615,440,440,392,110,15
PORTLAND,2010-01-06,619,433,433,383,108,16
PORTLAND,2010-01-06,615,421,421,368,105,17
PORTLAND,2010-01-06,667,414,414,360,102,18
PORTLAND,2010-01-06,615,410,410,357,99,19
PORTLAND,2010-01-06,652,407,407,354,102,20
PORTLAND,2010-01-06,628,404,403,349,100,21
PORTLAND,2010-01-06,632,401,401,347,99,22
PORTLAND,2010-01-06,609,398,398,346,97,23
PORTLAND,2010-01-07,619,396,396,344,95,0
PORTLAND,2010-01-07,664,394,394,343,93,1
PORTLAND,2010-01-07,689,392,392,340,94,2
PORTLAND,2010-01-07,674,391,390,340,91,3
PORTLAND,2010-01-07,694,390,390,339,90,4
PORTLAND,2010-01-07,666,389,389,337,93,5
PORTLAND,2010-01-07,686,389,389,337,91,6
PORTLAND,2010-01-07,682,391,390,337,97,7
PORTLAND,2010-01-07,676,389,389,336,96,8
PORTLAND,2010-01-07,624,396,396,344,97,9
PORTLAND,2010-01-07,646,407,407,355,102,10
PORTLAND,2010-01-07,609,420,420,369,107,11
PORTLAND,2010-01-07,614,432,432,382,109,12
PORTLAND,2010-01-07,581,440,440,393,112,13
PORTLAND,2010-01-07,596,443,443,396,111,14
PORTLAND,2010-01-07,605,443,443,395,111,15
PORTLAND,2010-01-07,615,436,436,386,110,16
PORTLAND,2010-01-07,615,423,423,370,105,17
PORTLAND,2010-01-07,655,416,416,363,101,18
PORTLAND,2010-01-07,615,412,412,360,99,19
PORTLAND,2010-01-07,655,409,409,356,101,20
PORTLAND,2010-01-07,624,405,405,352,98,21
PORTLAND,2010-01-07,625,402,402,349,97,22
PORTLAND,2010-01-07,603,399,399,347,96,23
PORTLAND,2010-01-08,615,396,396,345,94,0
PORTLAND,2010-01-08,664,395,395,344,92,1
PORTLAND,2010-01-08,680,392,392,341,93,2
PORTLAND,2010-01-08,671,391,391,340,89,3
PORTLAND,2010-01-08,687,391,391,339,90,4
PORTLAND,2010-01-08,658,389,389,338,91,5
PORTLAND,2010-01-08,681,389,389,338,91,6
PORTLAND,2010-01-08,682,390,390,338,94,7
PORTLAND,2010-01-08,675,390,390,337,95,8
PORTLAND,2010-01-08,626,396,396,345,95,9
PORTLAND,2010-01-08,645,408,408,357,100,10
PORTLAND,2010-01-08,610,421,421,371,106,11
PORTLAND,2010-01-08,604,434,434,385,108,12
PORTLAND,2010-01-08,574,442,442,395,111,13
PORTLAND,2010-01-08,594,445,445,399,110,14
PORTLAND,2010-01-08,605,445,445,398,109,15
PORTLAND,2010-01-08,616,438,438,388,109,16
PORTLAND,2010-01-08,619,425,425,372,105,17
PORTLAND,2010-01-08,657,417,417,364,102,18
PORTLAND,2010-01-08,613,412,412,360,99,19
PORTLAND,2010-01-08,649,409,409,357,100,20
PORTLAND,2010-01-08,631,405,405,352,98,21
PORTLAND,2010-01-08,624,402,402,349,97,22
PORTLAND,2010-01-08,602,399,399,348,95,23
PORTLAND,2010-01-09,611,396,396,345,92,0
PORTLAND,2010-01-09,649,394,394,343,92,1
PORTLAND,2010-01-09,675,391,391,340,92,2
PORTLAND,2010-01-09,671,390,390,340,88,3
PORTLAND,2010-01-09,690,389,389,339,88,4
PORTLAND,2010-01-09,666,388,388,338,90,5
PORTLAND,2010-01-09,687,387,387,336,89,6
PORTLAND,2010-01-09,685,389,389,337,93,7
PORTLAND,2010-01-09,670,388,388,336,94,8
