city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
SAN ANTONIO,2010-01-01,434,473,473,449,66,0
SAN ANTONIO,2010-01-01,463,465,465,439,65,1
SAN ANTONIO,2010-01-01,471,459,459,433,63,2
SAN ANTONIO,2010-01-01,471,454,454,427,64,3
SAN ANTONIO,2010-01-01,471,450,450,423,61,4
SAN ANTONIO,2010-01-01,453,446,446,417,63,5
SAN ANTONIO,2010-01-01,455,442,442,413,62,6
SAN ANTONIO,2010-01-01,470,441,441,411,64,7
SAN ANTONIO,2010-01-01,493,444,444,413,67,8
SAN ANTONIO,2010-01-01,498,475,475,448,73,9
SAN ANTONIO,2010-01-01,497,512,512,489,84,10
SAN ANTONIO,2010-01-01,497,541,540,522,93,11
SAN ANTONIO,2010-01-01,482,564,563,548,97,12
SAN ANTONIO,2010-01-01,447,583,583,571,97,13
SAN ANTONIO,2010-01-01,428,596,596,584,99,14
SAN ANTONIO,2010-01-01,390,604,604,592,100,15
SAN ANTONIO,2010-01-01,411,605,605,593,99,16
SAN ANTONIO,2010-01-01,372,593,593,581,95,17
SAN ANTONIO,2010-01-01,373,565,565,550,81,18
SAN ANTONIO,2010-01-01,382,543,543,526,72,19
SAN ANTONIO,2010-01-01,376,524,524,507,68,20
SAN ANTONIO,2010-01-01,380,506,506,487,69,21
SAN ANTONIO,2010-01-01,417,493,493,473,68,22
SAN ANTONIO,2010-01-01,425,484,484,462,67,23
SAN ANTONIO,2010-01-02,439,476,476,452,66,0
SAN ANTONIO,2010-01-02,468,468,468,443,65,1
SAN ANTONIO,2010-01-02,477,461,461,436,62,2
SAN ANTONIO,2010-01-02,475,456,456,430,63,3
SAN ANTONIO,2010-01-02,479,453,453,426,60,4
SAN ANTONIO,2010-01-02,464,448,448,420,62,5
SAN ANTONIO,2010-01-02,460,445,445,416,62,6
SAN ANTONIO,2010-01-02,470,444,444,414,64,7
SAN ANTONIO,2010-01-02,483,446,446,416,66,8
SAN ANTONIO,2010-01-02,482,479,478,453,71,9
SAN ANTONIO,2010-01-02,480,515,515,493,83,10
SAN ANTONIO,2010-01-02,479,545,545,527,94,11
SAN ANTONIO,2010-01-02,461,568,568,553,98,12
SAN ANTONIO,2010-01-02,426,588,588,576,99,13
SAN ANTONIO,2010-01-02,406,602,602,590,100,14
SAN ANTONIO,2010-01-02,378,610,610,598,101,15
SAN ANTONIO,2010-01-02,396,610,610,599,100,16
SAN ANTONIO,2010-01-02,360,598,598,587,96,17
SAN ANTONIO,2010-01-02,366,570,570,556,81,18
SAN ANTONIO,2010-01-02,371,547,547,532,71,19
SAN ANTONIO,2010-01-02,364,528,528,513,68,20
SAN ANTONIO,2010-01-02,366,510,510,492,69,21
SAN ANTONIO,2010-01-02,407,497,497,477,67,22
SAN ANTONIO,2010-01-02,416,487,487,467,67,23
SAN ANTONIO,2010-01-03,434,479,479,456,66,0
SAN ANTONIO,2010-01-03,463,470,470,445,64,1
SAN ANTONIO,2010-01-03,471,464,464,439,63,2
SAN ANTONIO,2010-01-03,467,459,459,433,64,3
SAN ANTONIO,2010-01-03,477,455,455,429,60,4
SAN ANTONIO,2010-01-03,461,451,451,423,62,5
SAN ANTONIO,2010-01-03,446,447,447,418,62,6
SAN ANTONIO,2010-01-03,461,446,445,415,64,7
SAN ANTONIO,2010-01-03,470,448,448,418,67,8
SAN ANTONIO,2010-01-03,479,480,480,453,72,9
SAN ANTONIO,2010-01-03,477,516,516,494,85,10
SAN ANTONIO,2010-01-03,479,546,546,528,95,11
SAN ANTONIO,2010-01-03,456,570,570,555,99,12
SAN ANTONIO,2010-01-03,424,590,590,578,101,13
SAN ANTONIO,2010-01-03,402,604,603,592,101,14
SAN ANTONIO,2010-01-03,372,611,611,600,102,15
SAN ANTONIO,2010-01-03,391,612,612,601,100,16
SAN ANTONIO,2010-01-03,354,599,599,589,96,17
SAN ANTONIO,2010-01-03,357,571,571,557,81,18
SAN ANTONIO,2010-01-03,362,548,548,533,71,19
SAN ANTONIO,2010-01-03,349,529,529,513,68,20
SAN ANTONIO,2010-01-03,355,510,510,492,69,21
SAN ANTONIO,2010-01-03,395,496,496,476,68,22
SAN ANTONIO,2010-01-03,402,486,486,465,67,23
SAN ANTONIO,2010-01-04,431,477,477,454,67,0
SAN ANTONIO,2010-01-04,462,469,469,444,65,1
SAN ANTONIO,2010-01-04,468,463,463,438,63,2
SAN ANTONIO,2010-01-04,458,458,458,431,64,3
SAN ANTONIO,2010-01-04,476,454,454,427,61,4
SAN ANTONIO,2010-01-04,459,450,450,422,62,5
SAN ANTONIO,2010-01-04,446,446,446,417,62,6
SAN ANTONIO,2010-01-04,462,445,445,414,66,7
SAN ANTONIO,2010-01-04,460,447,447,416,68,8
SAN ANTONIO,2010-01-04,477,478,478,451,73,9
SAN ANTONIO,2010-01-04,477,515,515,492,86,10
SAN ANTONIO,2010-01-04,474,544,544,526,94,11
SAN ANTONIO,2010-01-04,462,568,568,552,99,12
SAN ANTONIO,2010-01-04,431,588,588,575,100,13
SAN ANTONIO,2010-01-04,405,602,602,590,102,14
SAN ANTONIO,2010-01-04,381,610,610,598,101,15
SAN ANTONIO,2010-01-04,391,610,610,599,100,16
SAN ANTONIO,2010-01-04,359,598,598,586,96,17
SAN ANTONIO,2010-01-04,360,570,570,555,81,18
SAN ANTONIO,2010-01-04,366,546,546,530,71,19
SAN ANTONIO,2010-01-04,354,527,527,510,68,20
SAN ANTONIO,2010-01-04,359,508,508,489,70,21
SAN ANTONIO,2010-01-04,401,495,495,474,69,22
SAN ANTONIO,2010-01-04,418,485,485,463,68,23
SAN ANTONIO,2010-01-05,442,476,476,452,68,0
SAN ANTONIO,2010-01-05,470,468,468,442,66,1
SAN ANTONIO,2010-01-05,484,462,462,437,64,2
SAN ANTONIO,2010-01-05,472,458,458,430,65,3
SAN ANTONIO,2010-01-05,490,453,453,426,62,4
SAN ANTONIO,2010-01-05,474,449,449,421,62,5
SAN ANTONIO,2010-01-05,467,446,446,416,63,6
SAN ANTONIO,2010-01-05,481,445,445,414,65,7
SAN ANTONIO,2010-01-05,475,447,447,417,67,8
SAN ANTONIO,2010-01-05,499,478,478,451,72,9
SAN ANTONIO,2010-01-05,498,515,515,493,85,10
SAN ANTONIO,2010-01-05,486,544,544,526,94,11
SAN ANTONIO,2010-01-05,474,568,568,551,99,12
SAN ANTONIO,2010-01-05,439,588,588,574,100,13
SAN ANTONIO,2010-01-05,413,602,602,589,101,14
SAN ANTONIO,2010-01-05,379,610,610,597,102,15
SAN ANTONIO,2010-01-05,389,610,610,599,100,16
SAN ANTONIO,2010-01-05,368,598,598,586,96,17
SAN ANTONIO,2010-01-05,373,570,570,555,81,18
SAN ANTONIO,2010-01-05,376,547,547,531,71,19
SAN ANTONIO,2010-01-05,368,527,527,510,68,20
SAN ANTONIO,2010-01-05,370,509,509,490,70,21
SAN ANTONIO,2010-01-05,413,495,495,473,69,22
SAN ANTONIO,2010-01-05,427,484,484,462,68,23
SAN ANTONIO,2010-01-06,451,476,476,451,69,0
SAN ANTONIO,2010-01-06,477,468,468,442,66,1
SAN ANTONIO,2010-01-06,487,462,462,436,64,2
SAN ANTONIO,2010-01-06,474,458,458,430,65,3
SAN ANTONIO,2010-01-06,500,453,453,425,63,4
SAN ANTONIO,2010-01-06,480,449,449,420,64,5
SAN ANTONIO,2010-01-06,471,445,445,415,64,6
SAN ANTONIO,2010-01-06,486,443,443,412,66,7
SAN ANTONIO,2010-01-06,478,446,446,415,68,8
SAN ANTONIO,2010-01-06,496,476,476,449,74,9
SAN ANTONIO,2010-01-06,497,513,513,490,86,10
SAN ANTONIO,2010-01-06,487,542,542,523,94,11
SAN ANTONIO,2010-01-06,476,565,565,548,99,12
SAN ANTONIO,2010-01-06,448,584,584,570,101,13
SAN ANTONIO,2010-01-06,423,598,598,584,102,14
SAN ANTONIO,2010-01-06,386,605,605,592,102,15
SAN ANTONIO,2010-01-06,389,606,605,593,101,16
SAN ANTONIO,2010-01-06,366,594,594,581,97,17
SAN ANTONIO,2010-01-06,373,567,567,551,82,18
SAN ANTONIO,2010-01-06,378,543,543,526,72,19
SAN ANTONIO,2010-01-06,367,524,524,506,68,20
SAN ANTONIO,2010-01-06,376,505,505,486,70,21
SAN ANTONIO,2010-01-06,417,492,492,470,69,22
SAN ANTONIO,2010-01-06,432,481,481,458,69,23
SAN ANTONIO,2010-01-07,450,473,473,447,69,0
SAN ANTONIO,2010-01-07,474,465,465,438,67,1
SAN ANTONIO,2010-01-07,482,459,459,432,64,2
SAN ANTONIO,2010-01-07,469,454,454,426,66,3
SAN ANTONIO,2010-01-07,496,450,450,421,63,4
SAN ANTONIO,2010-01-07,474,445,445,416,64,5
SAN ANTONIO,2010-01-07,466,442,442,411,64,6
SAN ANTONIO,2010-01-07,481,440,440,408,66,7
SAN ANTONIO,2010-01-07,468,442,442,410,68,8
SAN ANTONIO,2010-01-07,495,474,474,445,74,9
SAN ANTONIO,2010-01-07,491,510,510,487,86,10
SAN ANTONIO,2010-01-07,478,540,540,522,95,11
SAN ANTONIO,2010-01-07,461,564,564,547,99,12
SAN ANTONIO,2010-01-07,441,584,584,570,101,13
SAN ANTONIO,2010-01-07,416,597,597,584,100,14
SAN ANTONIO,2010-01-07,380,605,605,592,102,15
SAN ANTONIO,2010-01-07,383,605,605,593,100,16
SAN ANTONIO,2010-01-07,363,594,594,582,96,17
SAN ANTONIO,2010-01-07,364,567,567,551,81,18
SAN ANTONIO,2010-01-07,377,542,542,526,72,19
SAN ANTONIO,2010-01-07,368,523,523,505,68,20
SAN ANTONIO,2010-01-07,368,503,503,483,69,21
SAN ANTONIO,2010-01-07,407,489,489,467,69,22
SAN ANTONIO,2010-01-07,417,479,479,455,68,23
SAN ANTONIO,2010-01-08,437,470,470,445,69,0
SAN ANTONIO,2010-01-08,463,462,462,435,68,1
SAN ANTONIO,2010-01-08,470,456,456,429,65,2
SAN ANTONIO,2010-01-08,456,451,451,423,66,3
SAN ANTONIO,2010-01-08,487,446,446,418,63,4
SAN ANTONIO,2010-01-08,474,442,442,412,64,5
SAN ANTONIO,2010-01-08,469,439,439,408,64,6
SAN ANTONIO,2010-01-08,479,437,437,405,66,7
SAN ANTONIO,2010-01-08,466,439,439,407,68,8
SAN ANTONIO,2010-01-08,491,471,471,443,72,9
SAN ANTONIO,2010-01-08,485,508,508,485,86,10
SAN ANTONIO,2010-01-08,484,539,539,520,95,11
SAN ANTONIO,2010-01-08,469,562,562,545,99,12
SAN ANTONIO,2010-01-08,441,582,582,568,100,13
SAN ANTONIO,2010-01-08,412,595,595,582,100,14
SAN ANTONIO,2010-01-08,385,603,603,590,102,15
SAN ANTONIO,2010-01-08,381,603,603,591,100,16
SAN ANTONIO,2010-01-08,374,593,593,580,96,17
SAN ANTONIO,2010-01-08,374,566,566,550,82,18
SAN ANTONIO,2010-01-08,382,542,542,525,72,19
SAN ANTONIO,2010-01-08,377,522,522,505,68,20
SAN ANTONIO,2010-01-08,370,503,503,484,70,21
SAN ANTONIO,2010-01-08,409,489,489,467,69,22
SAN ANTONIO,2010-01-08,415,478,478,455,68,23
SAN ANTONIO,2010-01-09,433,470,470,445,69,0
SAN ANTONIO,2010-01-09,460,462,461,435,67,1
SAN ANTONIO,2010-01-09,462,455,455,428,64,2
