city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
SAN DIEGO,2010-01-01,271,536,536,533,39,0
SAN DIEGO,2010-01-01,258,529,529,526,37,1
SAN DIEGO,2010-01-01,268,522,522,519,38,2
SAN DIEGO,2010-01-01,274,517,517,512,37,3
SAN DIEGO,2010-01-01,268,512,512,508,37,4
SAN DIEGO,2010-01-01,267,507,507,503,33,5
SAN DIEGO,2010-01-01,264,504,504,500,34,6
SAN DIEGO,2010-01-01,282,505,505,500,37,7
SAN DIEGO,2010-01-01,259,521,521,518,38,8
SAN DIEGO,2010-01-01,262,558,558,557,44,9
SAN DIEGO,2010-01-01,260,589,589,589,53,10
SAN DIEGO,2010-01-01,240,615,615,615,64,11
SAN DIEGO,2010-01-01,238,630,630,630,81,12
SAN DIEGO,2010-01-01,248,634,634,634,92,13
SAN DIEGO,2010-01-01,266,633,633,633,96,14
SAN DIEGO,2010-01-01,262,629,629,629,95,15
SAN DIEGO,2010-01-01,283,619,619,619,88,16
SAN DIEGO,2010-01-01,230,601,601,601,73,17
SAN DIEGO,2010-01-01,234,588,588,588,57,18
SAN DIEGO,2010-01-01,232,579,579,579,47,19
SAN DIEGO,2010-01-01,238,570,570,570,43,20
SAN DIEGO,2010-01-01,250,561,561,560,41,21
SAN DIEGO,2010-01-01,240,553,553,552,40,22
SAN DIEGO,2010-01-01,255,545,545,543,40,23
SAN DIEGO,2010-01-02,275,538,538,535,39,0
SAN DIEGO,2010-01-02,265,531,531,528,37,1
SAN DIEGO,2010-01-02,274,524,524,521,37,2
SAN DIEGO,2010-01-02,274,518,518,514,37,3
SAN DIEGO,2010-01-02,270,513,513,509,37,4
SAN DIEGO,2010-01-02,273,509,509,505,34,5
SAN DIEGO,2010-01-02,272,506,506,502,33,6
SAN DIEGO,2010-01-02,279,507,507,502,37,7
SAN DIEGO,2010-01-02,256,523,523,520,38,8
SAN DIEGO,2010-01-02,257,560,560,559,44,9
