city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
SEATTLE,2010-01-01,644,394,394,343,86,0
SEATTLE,2010-01-01,646,392,392,341,84,1
SEATTLE,2010-01-01,651,390,390,339,85,2
SEATTLE,2010-01-01,619,389,389,336,86,3
SEATTLE,2010-01-01,648,388,388,337,82,4
SEATTLE,2010-01-01,629,387,387,335,85,5
SEATTLE,2010-01-01,633,387,387,335,86,6
SEATTLE,2010-01-01,605,386,386,332,87,7
SEATTLE,2010-01-01,653,387,387,334,87,8
SEATTLE,2010-01-01,653,392,392,340,88,9
SEATTLE,2010-01-01,630,401,401,351,88,10
SEATTLE,2010-01-01,620,413,413,365,88,11
SEATTLE,2010-01-01,624,425,425,380,89,12
SEATTLE,2010-01-01,631,432,432,387,92,13
SEATTLE,2010-01-01,612,435,435,391,94,14
SEATTLE,2010-01-01,641,433,433,389,91,15
SEATTLE,2010-01-01,656,427,427,381,90,16
SEATTLE,2010-01-01,646,417,417,368,92,17
SEATTLE,2010-01-01,666,412,412,361,93,18
SEATTLE,2010-01-01,659,409,409,357,92,19
SEATTLE,2010-01-01,660,407,407,354,94,20
SEATTLE,2010-01-01,645,404,404,352,91,21
SEATTLE,2010-01-01,668,402,402,350,90,22
SEATTLE,2010-01-01,649,399,399,346,90,23
SEATTLE,2010-01-02,643,396,396,345,86,0
SEATTLE,2010-01-02,649,394,394,344,85,1
SEATTLE,2010-01-02,657,393,393,342,85,2
SEATTLE,2010-01-02,622,391,391,339,86,3
SEATTLE,2010-01-02,657,390,390,339,83,4
SEATTLE,2010-01-02,639,389,389,337,85,5
SEATTLE,2010-01-02,643,390,390,337,86,6
SEATTLE,2010-01-02,616,388,388,335,87,7
SEATTLE,2010-01-02,658,390,389,337,87,8
SEATTLE,2010-01-02,661,395,395,343,89,9
SEATTLE,2010-01-02,641,404,404,355,88,10
SEATTLE,2010-01-02,628,415,415,369,88,11
SEATTLE,2010-01-02,629,427,427,383,90,12
SEATTLE,2010-01-02,637,434,434,390,92,13
SEATTLE,2010-01-02,626,438,438,393,95,14
SEATTLE,2010-01-02,646,436,436,392,92,15
SEATTLE,2010-01-02,663,429,429,384,90,16
SEATTLE,2010-01-02,648,419,419,370,93,17
SEATTLE,2010-01-02,659,414,414,363,93,18
SEATTLE,2010-01-02,659,411,411,359,93,19
SEATTLE,2010-01-02,658,409,409,357,95,20
SEATTLE,2010-01-02,647,406,406,354,90,21
SEATTLE,2010-01-02,661,404,404,352,91,22
SEATTLE,2010-01-02,633,400,400,347,91,23
SEATTLE,2010-01-03,632,398,398,347,87,0
SEATTLE,2010-01-03,638,396,396,346,86,1
SEATTLE,2010-01-03,649,395,395,343,85,2
SEATTLE,2010-01-03,625,393,393,342,86,3
SEATTLE,2010-01-03,662,392,392,341,84,4
SEATTLE,2010-01-03,643,391,391,339,86,5
SEATTLE,2010-01-03,640,391,391,339,87,6
SEATTLE,2010-01-03,611,390,390,337,87,7
SEATTLE,2010-01-03,655,391,391,339,88,8
SEATTLE,2010-01-03,664,397,397,345,90,9
SEATTLE,2010-01-03,644,406,406,357,89,10
SEATTLE,2010-01-03,624,418,418,371,88,11
SEATTLE,2010-01-03,626,429,429,385,90,12
SEATTLE,2010-01-03,633,437,437,392,93,13
SEATTLE,2010-01-03,622,440,440,396,95,14
SEATTLE,2010-01-03,643,438,438,394,93,15
SEATTLE,2010-01-03,661,432,432,387,91,16
SEATTLE,2010-01-03,658,421,421,373,94,17
SEATTLE,2010-01-03,671,416,416,365,94,18
SEATTLE,2010-01-03,658,413,413,362,94,19
SEATTLE,2010-01-03,656,412,412,360,95,20
SEATTLE,2010-01-03,647,408,408,357,91,21
SEATTLE,2010-01-03,662,406,406,354,91,22
SEATTLE,2010-01-03,631,403,403,350,90,23
SEATTLE,2010-01-04,629,400,400,350,87,0
SEATTLE,2010-01-04,630,398,398,348,85,1
SEATTLE,2010-01-04,643,397,397,345,86,2
SEATTLE,2010-01-04,621,395,395,344,85,3
SEATTLE,2010-01-04,658,393,393,343,84,4
SEATTLE,2010-01-04,639,392,392,341,85,5
