city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
WILMINGTON,2010-01-01,448,328,328,267,78,0
WILMINGTON,2010-01-01,467,325,325,264,78,1
WILMINGTON,2010-01-01,446,321,321,261,79,2
WILMINGTON,2010-01-01,446,319,319,257,79,3
WILMINGTON,2010-01-01,469,316,316,253,79,4
WILMINGTON,2010-01-01,459,314,314,254,77,5
WILMINGTON,2010-01-01,439,314,314,252,79,6
WILMINGTON,2010-01-01,433,313,313,247,84,7
WILMINGTON,2010-01-01,455,314,314,250,83,8
WILMINGTON,2010-01-01,438,334,334,268,90,9
WILMINGTON,2010-01-01,458,356,355,287,104,10
WILMINGTON,2010-01-01,425,373,373,304,115,11
WILMINGTON,2010-01-01,449,386,385,318,121,12
WILMINGTON,2010-01-01,421,395,394,330,121,13
WILMINGTON,2010-01-01,435,401,400,336,121,14
WILMINGTON,2010-01-01,429,402,402,339,117,15
WILMINGTON,2010-01-01,433,395,394,332,111,16
WILMINGTON,2010-01-01,429,378,377,317,96,17
WILMINGTON,2010-01-01,439,366,366,306,90,18
WILMINGTON,2010-01-01,433,359,356,301,85,19
WILMINGTON,2010-01-01,427,348,348,288,83,20
WILMINGTON,2010-01-01,438,343,342,283,81,21
WILMINGTON,2010-01-01,456,337,336,276,80,22
WILMINGTON,2010-01-01,453,332,332,272,78,23
WILMINGTON,2010-01-02,453,327,327,266,77,0
WILMINGTON,2010-01-02,467,324,324,263,78,1
WILMINGTON,2010-01-02,452,320,320,260,79,2
WILMINGTON,2010-01-02,458,318,318,257,78,3
WILMINGTON,2010-01-02,472,316,316,252,79,4
WILMINGTON,2010-01-02,463,314,314,254,77,5
WILMINGTON,2010-01-02,447,313,313,252,78,6
WILMINGTON,2010-01-02,447,312,312,248,83,7
WILMINGTON,2010-01-02,467,315,314,251,82,8
WILMINGTON,2010-01-02,443,334,334,269,90,9
WILMINGTON,2010-01-02,458,356,355,288,103,10
WILMINGTON,2010-01-02,429,373,373,305,114,11
WILMINGTON,2010-01-02,453,386,385,318,120,12
WILMINGTON,2010-01-02,431,395,394,330,120,13
WILMINGTON,2010-01-02,438,400,400,336,121,14
WILMINGTON,2010-01-02,430,402,401,339,117,15
WILMINGTON,2010-01-02,434,395,394,332,110,16
WILMINGTON,2010-01-02,436,378,377,316,97,17
WILMINGTON,2010-01-02,441,366,365,306,90,18
WILMINGTON,2010-01-02,444,359,356,300,85,19
WILMINGTON,2010-01-02,431,348,347,287,84,20
WILMINGTON,2010-01-02,438,342,342,282,83,21
WILMINGTON,2010-01-02,461,336,336,275,81,22
WILMINGTON,2010-01-02,457,331,331,271,78,23
WILMINGTON,2010-01-03,458,326,326,265,78,0
WILMINGTON,2010-01-03,469,323,322,262,77,1
WILMINGTON,2010-01-03,461,320,320,259,79,2
WILMINGTON,2010-01-03,461,318,318,257,78,3
WILMINGTON,2010-01-03,480,316,316,251,79,4
WILMINGTON,2010-01-03,473,314,314,253,76,5
WILMINGTON,2010-01-03,457,313,313,252,77,6
WILMINGTON,2010-01-03,455,311,311,247,82,7
WILMINGTON,2010-01-03,468,313,313,250,81,8
WILMINGTON,2010-01-03,453,333,333,268,89,9
WILMINGTON,2010-01-03,468,355,354,287,103,10
WILMINGTON,2010-01-03,431,373,372,304,114,11
WILMINGTON,2010-01-03,453,386,385,318,120,12
WILMINGTON,2010-01-03,433,393,393,328,119,13
WILMINGTON,2010-01-03,437,399,399,335,120,14
WILMINGTON,2010-01-03,427,401,401,338,116,15
WILMINGTON,2010-01-03,430,394,394,331,110,16
WILMINGTON,2010-01-03,433,377,376,315,97,17
